"rep_id","condition","init","percent_bias","where_bias","level_bias","who_biased","size_net","mean_cond","std_cond"
1,"1",0,20,7,"highest","degree",150,0.064195060253513,0.00237081829333045
1,"10",0,20,7,"highest","degree",150,0.0940185692490725,0.00264074316740324
1,"2",0,20,7,"highest","degree",150,0.0671066334752746,0.00203360013663796
1,"3",0,20,7,"highest","degree",150,0.106583307440344,0.00225995516732116
1,"4",0,20,7,"highest","degree",150,0.0721617335473099,0.00201468825097833
1,"5",0,20,7,"highest","degree",150,0.0754317875214961,0.00220079798000295
1,"6",0,20,7,"highest","degree",150,0.0959096930750497,0.00247317126965095
1,"7",0,20,7,"highest","degree",150,0.288863141977625,0.00527421059318408
1,"8",0,20,7,"highest","degree",150,0.0339382728883703,0.00145600149364752
1,"9",0,20,7,"highest","degree",150,0.101791800571944,0.0022162682282575
2,"1",0,20,7,"highest","degree",150,0.110843594105618,0.00239062303735314
2,"10",0,20,7,"highest","degree",150,0.0544785485085152,0.00167121090569412
2,"2",0,20,7,"highest","degree",150,0.0775948707150532,0.00214558277129065
2,"3",0,20,7,"highest","degree",150,0.0663388214536558,0.00211765822445831
2,"4",0,20,7,"highest","degree",150,0.07431531636282,0.00209223521877543
2,"5",0,20,7,"highest","degree",150,0.102248100608562,0.00225515371791225
2,"6",0,20,7,"highest","degree",150,0.083398138194779,0.00296313766499763
2,"7",0,20,7,"highest","degree",150,0.271470305768044,0.00408843348941251
2,"8",0,20,7,"highest","degree",150,0.0632525022322754,0.00209283854371803
2,"9",0,20,7,"highest","degree",150,0.0960598020506782,0.00234817916284076
3,"1",0,20,7,"highest","degree",150,0.0745999799519962,0.0021560185935722
3,"10",0,20,7,"highest","degree",150,0.0808457075844305,0.00202905957774998
3,"2",0,20,7,"highest","degree",150,0.0745619711226265,0.00215175924140773
3,"3",0,20,7,"highest","degree",150,0.121838033743589,0.00323847793860497
3,"4",0,20,7,"highest","degree",150,0.0722694545945021,0.00160648821000075
3,"5",0,20,7,"highest","degree",150,0.100979336232762,0.00240752549566724
3,"6",0,20,7,"highest","degree",150,0.0688641774453803,0.00227767149003595
3,"7",0,20,7,"highest","degree",150,0.305907281273823,0.00391344722306507
3,"8",0,20,7,"highest","degree",150,0.0526763706196244,0.00170958332212159
3,"9",0,20,7,"highest","degree",150,0.0474576874312658,0.00147974671992566
4,"1",0,20,7,"highest","degree",150,0.0498361245208729,0.00180299496981039
4,"10",0,20,7,"highest","degree",150,0.10268711440574,0.00239020497307574
4,"2",0,20,7,"highest","degree",150,0.0526678792157581,0.00184273357705737
4,"3",0,20,7,"highest","degree",150,0.0829181221750627,0.00270314232882002
4,"4",0,20,7,"highest","degree",150,0.0619933719895933,0.00169326252553709
4,"5",0,20,7,"highest","degree",150,0.080717298216288,0.00239203812098846
4,"6",0,20,7,"highest","degree",150,0.0868654784730887,0.0023402094761357
4,"7",0,20,7,"highest","degree",150,0.322003899392013,0.00481810768767521
4,"8",0,20,7,"highest","degree",150,0.0614050041386942,0.00184751486018934
4,"9",0,20,7,"highest","degree",150,0.098905707472889,0.00202176209863538
5,"1",0,20,7,"highest","degree",150,0.0878224289527047,0.00219211793931659
5,"10",0,20,7,"highest","degree",150,0.07025366242385,0.00174288069663163
5,"2",0,20,7,"highest","degree",150,0.0650994411133848,0.00193719891534504
5,"3",0,20,7,"highest","degree",150,0.0843083917403459,0.00231311495528832
5,"4",0,20,7,"highest","degree",150,0.0757646642335029,0.00282959724909378
5,"5",0,20,7,"highest","degree",150,0.0885035908019963,0.00241230853610339
5,"6",0,20,7,"highest","degree",150,0.0814430776079462,0.00237035494965146
5,"7",0,20,7,"highest","degree",150,0.296603654494912,0.00402231978533559
5,"8",0,20,7,"highest","degree",150,0.0580018109109122,0.00201208854400579
5,"9",0,20,7,"highest","degree",150,0.0921992777204449,0.00238544685087536
6,"1",0,20,7,"highest","degree",150,0.068339827458756,0.00162030866150383
6,"10",0,20,7,"highest","degree",150,0.0890209104613262,0.00233477956044765
6,"2",0,20,7,"highest","degree",150,0.0899271397039464,0.00187192384373654
6,"3",0,20,7,"highest","degree",150,0.0745648389774917,0.00204883528238559
6,"4",0,20,7,"highest","degree",150,0.0770161297203906,0.00219208864936577
6,"5",0,20,7,"highest","degree",150,0.0958516229819866,0.00248468367521688
6,"6",0,20,7,"highest","degree",150,0.0460786071883097,0.00141653689564793
6,"7",0,20,7,"highest","degree",150,0.292340692476026,0.00296308602991408
6,"8",0,20,7,"highest","degree",150,0.074818785860375,0.00192676744683433
6,"9",0,20,7,"highest","degree",150,0.0920414451713919,0.0025584139781828
7,"1",0,20,7,"highest","degree",150,0.0749850854424911,0.00218963137680447
7,"10",0,20,7,"highest","degree",150,0.0869438393533453,0.00197478806867374
7,"2",0,20,7,"highest","degree",150,0.0621290520251294,0.00179228552192571
7,"3",0,20,7,"highest","degree",150,0.040291130069398,0.00175397652862068
7,"4",0,20,7,"highest","degree",150,0.0880390573022546,0.00250275135061262
7,"5",0,20,7,"highest","degree",150,0.0939113530942096,0.00182428598606552
7,"6",0,20,7,"highest","degree",150,0.0982801897331825,0.00247879756104737
7,"7",0,20,7,"highest","degree",150,0.306228963516928,0.00438896510131208
7,"8",0,20,7,"highest","degree",150,0.0783972016253156,0.0022871753931933
7,"9",0,20,7,"highest","degree",150,0.0707941278377463,0.00161787683417113
8,"1",0,20,7,"highest","degree",150,0.0718912022685212,0.00179904663595072
8,"10",0,20,7,"highest","degree",150,0.071254737914449,0.001859158653536
8,"2",0,20,7,"highest","degree",150,0.0877859576170452,0.00220757935641714
8,"3",0,20,7,"highest","degree",150,0.0763194310323886,0.00204818990637498
8,"4",0,20,7,"highest","degree",150,0.0946629249939235,0.00245718371051356
8,"5",0,20,7,"highest","degree",150,0.0960479579361455,0.00268013202682586
8,"6",0,20,7,"highest","degree",150,0.0616845487347131,0.00164630570167264
8,"7",0,20,7,"highest","degree",150,0.264508793289964,0.0041275668276978
8,"8",0,20,7,"highest","degree",150,0.092107716210878,0.00273346260947526
8,"9",0,20,7,"highest","degree",150,0.083736730001972,0.00220297815184629
9,"1",0,20,7,"highest","degree",150,0.0748523724242731,0.00213230165122208
9,"10",0,20,7,"highest","degree",150,0.11246471554629,0.0026481762020298
9,"2",0,20,7,"highest","degree",150,0.0815433327818546,0.00245756543365666
9,"3",0,20,7,"highest","degree",150,0.11060882743027,0.00252408771716796
9,"4",0,20,7,"highest","degree",150,0.0681487859740251,0.00215781280407036
9,"5",0,20,7,"highest","degree",150,0.0604552120414257,0.00182467069443095
9,"6",0,20,7,"highest","degree",150,0.081478710082501,0.00225769638688106
9,"7",0,20,7,"highest","degree",150,0.269618086943281,0.00313902055616856
9,"8",0,20,7,"highest","degree",150,0.064981105562563,0.00164929018704031
9,"9",0,20,7,"highest","degree",150,0.075848851213516,0.00230610722548128
10,"1",0,20,7,"highest","degree",150,0.0723843471244153,0.00261697022995274
10,"10",0,20,7,"highest","degree",150,0.0763947110050735,0.00219909562197684
10,"2",0,20,7,"highest","degree",150,0.0622507487470437,0.00177434804671279
10,"3",0,20,7,"highest","degree",150,0.0794663348690197,0.00265070289126275
10,"4",0,20,7,"highest","degree",150,0.0853992523659547,0.00302880072799931
10,"5",0,20,7,"highest","degree",150,0.0853252441820011,0.00242765046361636
10,"6",0,20,7,"highest","degree",150,0.0694637590992025,0.00158556869334047
10,"7",0,20,7,"highest","degree",150,0.358228267977768,0.00599133860875588
10,"8",0,20,7,"highest","degree",150,0.0652028557244033,0.00233323601862978
10,"9",0,20,7,"highest","degree",150,0.0458844789051187,0.00168033114307037
11,"1",0,20,7,"highest","degree",150,0.0550703046369398,0.00167390806737209
11,"10",0,20,7,"highest","degree",150,0.0823413128534828,0.00246928024286972
11,"2",0,20,7,"highest","degree",150,0.0620953262770833,0.00180055706298038
11,"3",0,20,7,"highest","degree",150,0.12608722087721,0.00272760380091538
11,"4",0,20,7,"highest","degree",150,0.0964567742482596,0.00217947633867315
11,"5",0,20,7,"highest","degree",150,0.0753100658787819,0.00201585025534436
11,"6",0,20,7,"highest","degree",150,0.0741892067163804,0.00190501514091255
11,"7",0,20,7,"highest","degree",150,0.259040856960283,0.00396978109759385
11,"8",0,20,7,"highest","degree",150,0.103447409928046,0.00284487470678595
11,"9",0,20,7,"highest","degree",150,0.065961521623533,0.00150065123112522
12,"1",0,20,7,"highest","degree",150,0.0717960104994195,0.00184623241727388
12,"10",0,20,7,"highest","degree",150,0.0847565313758585,0.00238459696001777
12,"2",0,20,7,"highest","degree",150,0.0780777706448732,0.00216156455206614
12,"3",0,20,7,"highest","degree",150,0.111733601775776,0.00315877307346202
12,"4",0,20,7,"highest","degree",150,0.0645119581369675,0.00212356109687842
12,"5",0,20,7,"highest","degree",150,0.086170832813694,0.00312685515110385
12,"6",0,20,7,"highest","degree",150,0.0851593520715178,0.00199331273351677
12,"7",0,20,7,"highest","degree",150,0.257649124784347,0.00453404255363923
12,"8",0,20,7,"highest","degree",150,0.069796463671464,0.00201577125719934
12,"9",0,20,7,"highest","degree",150,0.0903483542260827,0.00251080472779986
13,"1",0,20,7,"highest","degree",150,0.0839103857738726,0.00183202683915352
13,"10",0,20,7,"highest","degree",150,0.0855370229445101,0.00216683774724546
13,"2",0,20,7,"highest","degree",150,0.0644573637337713,0.00145042616993601
13,"3",0,20,7,"highest","degree",150,0.0717987688666366,0.00204355682338809
13,"4",0,20,7,"highest","degree",150,0.0732898698930776,0.00188297495824349
13,"5",0,20,7,"highest","degree",150,0.079723667959603,0.00239186723574445
13,"6",0,20,7,"highest","degree",150,0.056583655558489,0.00176248169267469
13,"7",0,20,7,"highest","degree",150,0.310036264456452,0.00387453518723056
13,"8",0,20,7,"highest","degree",150,0.0886721483967953,0.00200936937096308
13,"9",0,20,7,"highest","degree",150,0.0859908524167926,0.00243770151309649
14,"1",0,20,7,"highest","degree",150,0.0769329131215913,0.00223320165865654
14,"10",0,20,7,"highest","degree",150,0.0524132507478973,0.00143059654880933
14,"2",0,20,7,"highest","degree",150,0.0783114988428143,0.0018173589739186
14,"3",0,20,7,"highest","degree",150,0.0742409566951615,0.0017763327644582
14,"4",0,20,7,"highest","degree",150,0.0690104346434333,0.00231737193636327
14,"5",0,20,7,"highest","degree",150,0.114694321981565,0.00253740383970015
14,"6",0,20,7,"highest","degree",150,0.0758710636164118,0.00225265934838325
14,"7",0,20,7,"highest","degree",150,0.304705987561752,0.00406276942511491
14,"8",0,20,7,"highest","degree",150,0.0598480595501509,0.0018560644930726
14,"9",0,20,7,"highest","degree",150,0.0939715132392228,0.0024356610436997
15,"1",0,20,7,"highest","degree",150,0.0881557783254272,0.00267986183990403
15,"10",0,20,7,"highest","degree",150,0.103499127051285,0.00255361831263208
15,"2",0,20,7,"highest","degree",150,0.0638639999247571,0.00174920800837537
15,"3",0,20,7,"highest","degree",150,0.112144519589342,0.00247631651769943
15,"4",0,20,7,"highest","degree",150,0.097759431127436,0.00201018545395384
15,"5",0,20,7,"highest","degree",150,0.0741010783833199,0.00183568932288673
15,"6",0,20,7,"highest","degree",150,0.0846851342895715,0.001912993877869
15,"7",0,20,7,"highest","degree",150,0.256599800697987,0.00368935513924433
15,"8",0,20,7,"highest","degree",150,0.0550303645941655,0.00196330473501831
15,"9",0,20,7,"highest","degree",150,0.0641607660167079,0.00234833650245565
16,"1",0,20,7,"highest","degree",150,0.0624885875991996,0.0023376715551169
16,"10",0,20,7,"highest","degree",150,0.0733441843464493,0.0019473592314901
16,"2",0,20,7,"highest","degree",150,0.0751123807196641,0.00214463823560323
16,"3",0,20,7,"highest","degree",150,0.0760410407760595,0.0022131318550684
16,"4",0,20,7,"highest","degree",150,0.0803698507431895,0.00206328298663002
16,"5",0,20,7,"highest","degree",150,0.0902522539985821,0.00217167782292419
16,"6",0,20,7,"highest","degree",150,0.0754887650957324,0.0029736849392227
16,"7",0,20,7,"highest","degree",150,0.31201825742971,0.00408626151744223
16,"8",0,20,7,"highest","degree",150,0.0999232846835651,0.00165073355350773
16,"9",0,20,7,"highest","degree",150,0.0549613946078482,0.00201028594216851
17,"1",0,20,7,"highest","degree",150,0.0901579269487842,0.00288030571976596
17,"10",0,20,7,"highest","degree",150,0.0579413251935641,0.00179235065034765
