"condition","init","percent_bias","where_bias","level_bias","who_biased","size_net","mean_cond","std_cond"
"2",5,0,NA,"none","none",150,0.0660928242413195,0.0292903427036658
"2",5,20,7,"highest","centbet",150,0.0501480085622205,0.0233192841489828
"2",5,20,7,"highest","centclos",150,0.0547064043284733,0.0263327004720005
"2",5,20,7,"highest","centeigen",150,0.0535502857272249,0.027263808533295
"2",5,20,7,"highest","cluscoeff",150,0.058021695337317,0.0269187662790927
"2",5,20,7,"highest","degree",150,0.0516022220268435,0.0235951868001907
"2",5,20,7,"lowest","centbet",150,0.0583588544208175,0.0271889264753068
"2",5,20,7,"lowest","centclos",150,0.0584986830726032,0.028645757607319
"2",5,20,7,"lowest","centeigen",150,0.0593141162125892,0.0279789605785668
"2",5,20,7,"lowest","cluscoeff",150,0.0571836222935183,0.0263056351138999
"2",5,20,7,"lowest","degree",150,0.057029050288928,0.0261560579550323
"2",5,20,7,"random","none",150,0.0570152626868082,0.0274993897119317
"2",20,0,NA,"none","none",150,0.0332555200863402,0.0161310689475592
"2",20,20,7,"highest","centbet",150,0.0288777846902403,0.0136529730512759
"2",20,20,7,"highest","centclos",150,0.0288127942055903,0.0138786996144624
"2",20,20,7,"highest","centeigen",150,0.0291137195565907,0.0142822122331547
"2",20,20,7,"highest","cluscoeff",150,0.0300006003310774,0.0146080528059942
"2",20,20,7,"highest","degree",150,0.0282803265773149,0.0134454781873498
"2",20,20,7,"lowest","centbet",150,0.0303981822597046,0.0151589473865357
"2",20,20,7,"lowest","centclos",150,0.0324050927477602,0.0158770710140653
"2",20,20,7,"lowest","centeigen",150,0.0316980650277297,0.0154759090003915
"2",20,20,7,"lowest","cluscoeff",150,0.0300143985140604,0.0142362716115178
"2",20,20,7,"lowest","degree",150,0.0310374789483125,0.0149594017823526
"2",20,20,7,"random","none",150,0.0299353755028117,0.0144659041854032
"3",0,0,NA,"none","none",150,0.0988209945096204,0.0405895529380805
"3",0,20,7,"highest","centbet",150,0.0693250985779496,0.0302588785035751
"3",0,20,7,"highest","centclos",150,0.0766104704332198,0.0362773733948335
"3",0,20,7,"highest","centeigen",150,0.0769429072584471,0.038220307265739
"3",0,20,7,"highest","cluscoeff",150,0.0791727920329165,0.0361226840923686
"3",0,20,7,"highest","degree",150,0.0701225226579704,0.0308545957898921
"3",0,20,7,"lowest","centbet",150,0.0850014270607177,0.038474098499487
"3",0,20,7,"lowest","centclos",150,0.0867620839849638,0.0417343791320435
"3",0,20,7,"lowest","centeigen",150,0.0873252008602749,0.0424555041884894
"3",0,20,7,"lowest","cluscoeff",150,0.0794524587770518,0.0345239392745812
"3",0,20,7,"lowest","degree",150,0.0864681455554085,0.0375887132231941
"3",0,20,7,"random","none",150,0.0817297523523634,0.036908461693276
"3",5,0,NA,"none","none",150,0.0647555279627259,0.0275912191680537
"3",5,20,7,"highest","centbet",150,0.0513303236001104,0.0234857855638797
"3",5,20,7,"highest","centclos",150,0.0547762919493703,0.0261280518603125
"3",5,20,7,"highest","centeigen",150,0.0536756082978654,0.0255163096109137
"3",5,20,7,"highest","cluscoeff",150,0.0566413220481621,0.0257662701337317
"3",5,20,7,"highest","degree",150,0.0500661529923645,0.0221804094063068
"3",5,20,7,"lowest","centbet",150,0.0593188526671934,0.0282086039362681
"3",5,20,7,"lowest","centclos",150,0.0593918788256634,0.0279333953212679
"3",5,20,7,"lowest","centeigen",150,0.0593621935665445,0.0286201729849781
"3",5,20,7,"lowest","cluscoeff",150,0.0567049802050028,0.0258402549910678
"3",5,20,7,"lowest","degree",150,0.0591185587906196,0.026947974114235
"3",5,20,7,"random","none",150,0.0550727269738949,0.0253772387581805
"3",20,0,NA,"none","none",150,0.0339762696063414,0.0152745335460224
"3",20,20,7,"highest","centbet",150,0.0284630151598845,0.0133008165930421
"3",20,20,7,"highest","centclos",150,0.0288692142782978,0.014176323630076
"3",20,20,7,"highest","centeigen",150,0.0286948361529049,0.0146494743708815
"3",20,20,7,"highest","cluscoeff",150,0.0296011160062011,0.0142795301197259
"3",20,20,7,"highest","degree",150,0.0282190296206359,0.0134469573952123
"3",20,20,7,"lowest","centbet",150,0.0300001421288136,0.0143939111607099
"3",20,20,7,"lowest","centclos",150,0.0314689419471222,0.0159544386677374
"3",20,20,7,"lowest","centeigen",150,0.0305943523824619,0.0154783933298853
"3",20,20,7,"lowest","cluscoeff",150,0.0297848136314263,0.0142848161290257
"3",20,20,7,"lowest","degree",150,0.0295204745835197,0.0142923696200404
"3",20,20,7,"random","none",150,0.0295683561610916,0.0144881192444707
"4",0,0,NA,"none","none",150,0.0999145629256604,0.0412622504753326
"4",0,20,7,"highest","centbet",150,0.071406686671404,0.0320341986118773
"4",0,20,7,"highest","centclos",150,0.075379667586437,0.0381399419476553
"4",0,20,7,"highest","centeigen",150,0.0778395650492561,0.0380942060727269
"4",0,20,7,"highest","cluscoeff",150,0.0833835610923943,0.0354717157119327
"4",0,20,7,"highest","degree",150,0.072047871549134,0.0314310493594783
"4",0,20,7,"lowest","centbet",150,0.0853430128960413,0.0376788840877591
"4",0,20,7,"lowest","centclos",150,0.0874914169418322,0.0384064966271
"4",0,20,7,"lowest","centeigen",150,0.0850836917384384,0.0391529999241588
"4",0,20,7,"lowest","cluscoeff",150,0.0820149080824236,0.0368381316052066
"4",0,20,7,"lowest","degree",150,0.0856969255756215,0.0383794365889435
"4",0,20,7,"random","none",150,0.0816704640542944,0.0376414018585549
"4",5,0,NA,"none","none",150,0.401053740493547,0.0596419581216389
"4",5,20,7,"highest","centbet",150,0.30526578282271,0.0517764322350542
"4",5,20,7,"highest","centclos",150,0.323405477041596,0.0699246011714054
"4",5,20,7,"highest","centeigen",150,0.330340163603956,0.0722273402972329
"4",5,20,7,"highest","cluscoeff",150,0.341828601240614,0.0598767983912316
"4",5,20,7,"highest","degree",150,0.306811821221281,0.0510840664651235
"4",5,20,7,"lowest","centbet",150,0.35263581980511,0.0574900911761436
"4",5,20,7,"lowest","centclos",150,0.356597254136738,0.0753525055762767
"4",5,20,7,"lowest","centeigen",150,0.35013086141298,0.0747582135958527
"4",5,20,7,"lowest","cluscoeff",150,0.347744514955412,0.0585599918370728
"4",5,20,7,"lowest","degree",150,0.353658083485935,0.0586067467676028
"4",5,20,7,"random","none",150,0.340543179904405,0.0614355975096568
"4",20,0,NA,"none","none",150,0.698852698893896,0.0402146632649473
"4",20,20,7,"highest","centbet",150,0.595735104109134,0.0463213960879237
