"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","neighbors","where_bias","level_bias","who_biased","percent_bias","bet_biased","bet_unbiased","clus_biased","clus_unbiased","eigen_biased","eigen_unbiased","clos_biased","close_unbiased","assor_biased","assor_unbiased","deg_biased","deg_unbiased","exponent","old_rep_id","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
1,150,0,4.72563758389262,0.569641100923988,-0.166584483253998,0,1.98666666666667,7,"highest","degree",20,"1231.06666666667",39.1833333333333,"0",0,"0.139540766388742",0.0459333794208708,"0.252005347117958",0.211828484659235,"0.318139788200069",0.435534567454869,"5.23333333333333",1.175,3.05382619868451,7,0.0184965490920749,1.96950323146142,0.0952833898410496,1.9709323524607,0.0948388624228406,5974,7861.83440861332,0.38622395649352,0.0593258137036495,6.08319825749143,0.262430048431226,7,0,0.0273188624952253,0.100959962158631
2,150,0,5.32357941834452,0.531311731334182,-0.309975571251941,0,1.98666666666667,7,"highest","degree",20,"1541.66666666667",17.2166666666667,"0",0,"0.131457258854214",0.0483687719548476,"0.217492300980793",0.188048238398241,"0.290551359249547",0.442975311296386,"5.56666666666667",1.09166666666667,2.85056208761007,8,0.0216605811163995,1.99801836398551,0.100939428677227,1.99938408563283,0.100498762128719,5974,7823.83966566889,0.365805844630432,0.0585509161559551,5.9050581963288,0.37901274914931,7,0,0.0293844003824412,0.093739000106627
3,150,0,4.33762863534676,0.615451553282861,-0.272504761203588,0,1.98666666666667,7,"highest","degree",20,"1154.73333333333",22.1333333333333,"0",0,"0.149521601248305",0.0561791377996993,"0.27182971690592",0.231716527312467,"0.152951914194458",0.31537140222724,"5.43333333333333",1.125,3.13014275183,4,0.026415885622574,1.99554321233424,0.109253543146482,1.99693627231019,0.108792647389383,5974,9963.07868646794,0.356608904620757,0.0791167353298869,5.88041946967044,0.174309616804817,7,0,0.0322347513715341,0.0914022160538172
4,150,0,5.45906040268456,0.562644116861911,-0.179371092426622,0,1.98666666666667,7,"highest","degree",20,"1498.66666666667",40.5833333333333,"0",0,"0.156287702586043",0.057555151171824,"0.21397468298665",0.185068431421146,"0.46785743964686",0.546597948824013,"5.03333333333333",1.225,3.01506806170327,2,0.03490089619258,1.99388567121378,0.141911395998407,1.99519668039722,0.141356298487457,5974,6913.04457058533,0.353808116616998,0.0938191780614187,5.81145233478229,0.324423627975322,6.85333333333333,0.838556339061819,0.0372034229115079,0.0892112872793605
5,150,0,4.62371364653244,0.584124512445764,-0.229818693408065,0,1.98666666666667,7,"highest","degree",20,"1236.7",28.2833333333333,"0",0,"0.147089470168183",0.0542103020673909,"0.254891717895665",0.218344981355368,"0.237567169052103",0.381462243491756,"5.3",1.15833333333333,3.20984439546988,6,0.0189180997525183,1.98913581311126,0.0953451066523926,1.99050885501978,0.0949219904933746,5974,8980.85121748512,0.371513594702251,0.0545972308479069,6.03338796503527,0.218900881899903,6.98,0.140469013039037,0.0276508646182196,0.0959678726378985
6,150,0,5.38908277404922,0.586653210807914,-0.212727346596065,0,1.98666666666667,7,"highest","degree",20,"1385.73333333333",62.3,"0",0,"0.186896344750126",0.0590506078396768,"0.218410873982848",0.185443952042522,"0.432296502332003",0.547738586454754,"5.03333333333333",1.225,2.93825468655475,5,0.0278817389885704,1.99295162838001,0.134111361482677,1.99425431983409,0.133559544147069,5954.37086092715,6481.49402284781,0.363473111982485,0.0883857081192446,5.73059286507035,0.371238752392851,6.9205298013245,0.594678387118584,0.0330061620720505,0.0932616761890906
7,150,0,4.55847874720358,0.560497056676143,-0.306461709457035,0,1.98666666666667,7,"highest","degree",20,"1232.33333333333",23.3,"0",0,"0.136526675602619",0.0556919747246013,"0.250830250486387",0.222040721584402,"0.222278022829766",0.336548040029968,"5.5",1.10833333333333,3.06751026742833,3,0.0382793660022204,2.00492433765849,0.127309341523646,2.00628017608344,0.126789074885801,5974,9478.48768839525,0.340755380952043,0.0812597533458002,5.77032114648489,0.269446578709711,7.04,0.345245754314927,0.0385811940707243,0.084758524960589
8,150,0,6.00706935123042,0.605384341353973,-0.319250294733295,0,1.98666666666667,7,"highest","degree",20,"1688.86666666667",44.0666666666667,"0",0,"0.177258122073207",0.0703820888451276,"0.188834131021427",0.168645094725422,"0.434248502520798",0.463867696130213,"5.13333333333333",1.2,2.80428366504204,1,0.0348338923350603,2.01064283409421,0.159405492047342,2.01190337017104,0.158781149772768,5974,7128.30523830663,0.34038655242695,0.0867849925136681,5.98887388443832,0.429451388426101,7,0,0.0379108085310611,0.0850774594197518
9,150,0,5.51838926174497,0.569607006663056,-0.332139218534801,0,1.98666666666667,7,"highest","degree",20,"1518.23333333333",41.2166666666667,"0",0,"0.207463946976927",0.0780448588338917,"0.209661056463236",0.181950435426972,"0.404737078738882",0.486610678074239,"5.26666666666667",1.16666666666667,2.76329831494392,9,0.0349035331636965,2.04285179275699,0.12728855913523,2.04399475875061,0.126767013086317,5974,6982.99833680433,0.323456916179794,0.0934539816160634,5.95851159394127,0.325059556876233,7,0.417727954888468,0.0368986677792213,0.0788208112033064
10,150,0,5.00143176733781,0.568708220504365,-0.147740502804977,0,1.98666666666667,7,"highest","degree",20,"1338.1",38.1083333333333,"0",0,"0.16384826306151",0.0501459682836808,"0.243325618053859",0.200278417801285,"0.322201703638926",0.482222224180639,"5",1.23333333333333,3.24183750066115,10,0.0203832859422985,1.99810612110529,0.0863746085556825,1.99939114444226,0.0860202885252109,5974,7394.27385928059,0.36491232979662,0.0562812201232247,5.9478820268321,0.274448712403344,7,0,0.0285023703961045,0.093800690942997
