"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","neighbors","where_bias","level_bias","who_biased","percent_bias","bet_biased","bet_unbiased","clus_biased","clus_unbiased","eigen_biased","eigen_unbiased","clos_biased","close_unbiased","assor_biased","assor_unbiased","deg_biased","deg_unbiased","exponent","old_rep_id","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
1,150,0,5.13798657718121,0.554831592632182,-0.248135563670895,0,1.98666666666667,4,"random","degree",0,"<RuntimePrimitiveException>",308.28,"<RuntimePrimitiveException>",0,"<RuntimePrimitiveException>",0.0646486056927652,"<RuntimePrimitiveException>",0.20322603089096,"<RuntimePrimitiveException>",0.412322058999137,"<RuntimePrimitiveException>",1.98666666666667,3.21305223748045,8,0.0377642304790699,2.2078234928884,0.0414749792765852,2.20827545616869,0.0412631217592851,5970.26490066225,8057.19619942486,0.188240341089132,0.0287508345687591,5.72553002870966,0.372125930961166,7.15894039735099,3.12216317154584,0.0388060945756191,0.0210888721083828
2,150,0,4.62729306487696,0.571421338765056,-0.21290146314453,0,1.98666666666667,4,"random","degree",0,"<RuntimePrimitiveException>",270.233333333333,"<RuntimePrimitiveException>",0,"<RuntimePrimitiveException>",0.05995960982228,"<RuntimePrimitiveException>",0.227164846184032,"<RuntimePrimitiveException>",0.323272729213167,"<RuntimePrimitiveException>",1.98666666666667,3.15695956951356,6,0.0314841285930648,2.22668849962387,0.0559348323885687,2.22706144101933,0.0556593891391074,5970,9769.06499479266,0.172043549066068,0.0363296083116978,5.76840244336324,0.459605145501217,6.48,2.94404187306084,0.0352395994325215,0.0167795345434172
3,150,0,4.7958836689038,0.578777669110563,-0.210295620666331,0,1.98666666666667,4,"random","degree",0,"<RuntimePrimitiveException>",282.793333333333,"<RuntimePrimitiveException>",0,"<RuntimePrimitiveException>",0.0713523362825836,"<RuntimePrimitiveException>",0.216443494953676,"<RuntimePrimitiveException>",0.41481732377004,"<RuntimePrimitiveException>",1.98666666666667,3.1848577714096,3,0.0406182865674315,2.20278655701374,0.0440711675890496,2.20327994705595,0.0438209351868642,5970,8054.2456185059,0.18636824984754,0.0281589723643353,5.32801517825437,0.380071284490368,5.16,2.21974059794104,0.0401916722230663,0.0199542357650798
4,150,0,4.58389261744966,0.554243857594852,-0.31048693461054,0,1.98666666666667,4,"random","degree",0,"<RuntimePrimitiveException>",267,"<RuntimePrimitiveException>",0,"<RuntimePrimitiveException>",0.0786745172020638,"<RuntimePrimitiveException>",0.228364048314436,"<RuntimePrimitiveException>",0.312657859522959,"<RuntimePrimitiveException>",1.98666666666667,3.10079525060485,2,0.0408620230686087,2.20603327918584,0.0543677091239807,2.20651801348842,0.0540856535645596,5970,9625.8042460124,0.186014326844748,0.0401091665861506,5.41006525526962,0.2951836769406,5.62,2.08113933690114,0.0408109966746194,0.0175269215612602
5,150,0,6.31176733780761,0.59075218850792,-0.269590355828968,0,1.98666666666667,4,"random","degree",0,"<RuntimePrimitiveException>",395.726666666667,"<RuntimePrimitiveException>",0,"<RuntimePrimitiveException>",0.0994264510132346,"<RuntimePrimitiveException>",0.16439537512557,"<RuntimePrimitiveException>",0.532120191146835,"<RuntimePrimitiveException>",1.98666666666667,2.98643832464014,5,0.0331987148924525,2.22637936468198,0.0321617038297281,2.22674736603804,0.0319849804110411,5970,6493.03188712702,0.168556036124655,0.0253509166209102,5.59297798107314,0.456281915441096,6.29333333333333,2.92993498488618,0.036370174818612,0.0143915049007623
6,150,0,4.48948545861298,0.587564748875268,-0.20257448147772,0,1.98666666666667,4,"random","degree",0,"<RuntimePrimitiveException>",259.966666666667,"<RuntimePrimitiveException>",0,"<RuntimePrimitiveException>",0.0682116768544633,"<RuntimePrimitiveException>",0.232551501288026,"<RuntimePrimitiveException>",0.358877373660427,"<RuntimePrimitiveException>",1.98666666666667,3.08629204152827,7,0.036561595674297,2.22434692249707,0.0347010784828628,2.22473607196034,0.0345194713689419,5950.39735099338,8787.2876270815,0.16601598670636,0.0243598177003765,5.48204901627163,0.350394050672207,5.35761589403973,2.61621704211998,0.0376607810171099,0.0098324124225147
7,150,0,4.77387024608501,0.559594040560343,-0.15873074191099,0,1.98666666666667,4,"random","degree",0,"<RuntimePrimitiveException>",281.153333333333,"<RuntimePrimitiveException>",0,"<RuntimePrimitiveException>",0.0670165444576061,"<RuntimePrimitiveException>",0.218277009546126,"<RuntimePrimitiveException>",0.448838006484017,"<RuntimePrimitiveException>",1.98666666666667,3.17885622978835,4,0.0367939509090076,2.22175214454978,0.0402852277628219,2.22213554404094,0.0400840059341169,5970,7701.54695521333,0.183933182661506,0.0327760058293984,5.51867422953549,0.500240628352384,6.57333333333333,3.33246521133942,0.0384887985327323,0.0130093561362191
8,150,0,5.04948545861298,0.575209580556774,-0.205754306265379,0,1.98666666666667,4,"random","degree",0,"<RuntimePrimitiveException>",301.686666666667,"<RuntimePrimitiveException>",0,"<RuntimePrimitiveException>",0.0597099852115288,"<RuntimePrimitiveException>",0.20547953200837,"<RuntimePrimitiveException>",0.451147719782887,"<RuntimePrimitiveException>",1.98666666666667,3.0325399569728,1,0.0347398577106698,2.21566537143617,0.0491898464332724,2.21609546390813,0.0489220753422645,5970,7364.78105580879,0.173161771034826,0.02961291660524,5.84502573863148,0.491796036229663,5.94,2.68785486185346,0.0373785878574804,0.0186576857087666
9,150,0,4.88724832214765,0.556648989271221,-0.228544573310775,0,1.98666666666667,4,"random","degree",0,"<RuntimePrimitiveException>",289.6,"<RuntimePrimitiveException>",0,"<RuntimePrimitiveException>",0.0873709220848172,"<RuntimePrimitiveException>",0.212146014907047,"<RuntimePrimitiveException>",0.476845705640884,"<RuntimePrimitiveException>",1.98666666666667,2.84542647452895,9,0.0322442737744659,2.22175639107538,0.0409024971345936,2.22216189402109,0.0406846945399113,5970,7421.96992609729,0.175948757350555,0.0272982561038324,5.5439945330097,0.359881277004054,6.07333333333333,2.80003994858047,0.0360291405872611,0.0187548091797268
10,150,0,5.62156599552573,0.558935809942387,-0.3187331155546,0,1.98666666666667,4,"random","degree",0,"<RuntimePrimitiveException>",344.306666666667,"<RuntimePrimitiveException>",0,"<RuntimePrimitiveException>",0.0798214492644279,"<RuntimePrimitiveException>",0.183971920346088,"<RuntimePrimitiveException>",0.403144191571735,"<RuntimePrimitiveException>",1.98666666666667,3.08804057255861,10,0.0302977119991779,2.23174375852402,0.030425459138483,2.2320860910811,0.0302721150960477,5970,7887.53157600121,0.178780150854508,0.02950029135889,5.50133248627202,0.370100814401295,4.92,2.59198558285824,0.0343151991714708,0.0162657742278008
11,150,0,4.79472035794183,0.527564964908618,-0.327220420798865,0,1.98666666666667,4,"random","degree",0,"<RuntimePrimitiveException>",282.706666666667,"<RuntimePrimitiveException>",0,"<RuntimePrimitiveException>",0.0646446708874077,"<RuntimePrimitiveException>",0.214527754385628,"<RuntimePrimitiveException>",0.272206397759566,"<RuntimePrimitiveException>",1.98666666666667,3.02031449928951,11,0.0511722554353645,2.17933996237009,0.0462030623448429,2.17995159163945,0.0459428640980625,5970,10001.2616653765,0.21002018285101,0.0303377928559085,5.780690590799,0.470255928513625,5.67333333333333,2.79139777996536,0.0434368820774671,0.022887362207433
12,150,0,4.8041163310962,0.565594468129366,-0.226161381880975,0,1.98666666666667,4,"random","degree",0,"<RuntimePrimitiveException>",283.406666666667,"<RuntimePrimitiveException>",0,"<RuntimePrimitiveException>",0.0605756860484825,"<RuntimePrimitiveException>",0.217497294287307,"<RuntimePrimitiveException>",0.382456274848267,"<RuntimePrimitiveException>",1.98666666666667,3.12216497755243,12,0.0316693147329183,2.22685437500417,0.0345086193867728,2.22722244333464,0.034335206765259,5970,9274.2553383297,0.174592271126357,0.0317526190623025,5.8165788876144,0.41886761729091,6.63333333333333,2.80798637319268,0.0354032667648653,0.0168167042390225
13,150,0,5.76393736017897,0.583404256569538,-0.243761970066973,0,1.98666666666667,4,"random","degree",0,"<RuntimePrimitiveException>",354.913333333333,"<RuntimePrimitiveException>",0,"<RuntimePrimitiveException>",0.0590522047238862,"<RuntimePrimitiveException>",0.181292380484572,"<RuntimePrimitiveException>",0.460912162636517,"<RuntimePrimitiveException>",1.98666666666667,3.01432766959927,14,0.0385927414638611,2.20450577665547,0.0419485047653272,2.20498708261054,0.041715962424854,5970,7046.23275042447,0.184292827473912,0.0382875854770119,5.85023150870379,0.460658731783665,6.42,2.66286922007474,0.0390236498335978,0.0208005045279782
14,150,0,4.75713646532438,0.552039960774711,-0.199637353048565,0,1.98666666666667,4,"random","degree",0,"<RuntimePrimitiveException>",279.906666666667,"<RuntimePrimitiveException>",0,"<RuntimePrimitiveException>",0.0662973391736576,"<RuntimePrimitiveException>",0.218536356465469,"<RuntimePrimitiveException>",0.386119410077392,"<RuntimePrimitiveException>",1.98666666666667,3.05933473156994,13,0.036733928666657,2.21682554224238,0.0446786017778805,2.21724112862801,0.0444444194687444,5970,7902.83272635016,0.181550696608376,0.0327700863261325,5.57112234382979,0.355882935455371,5.85333333333333,2.22971592576716,0.038871859643093,0.0164246135357771
15,150,0,4.66022371364653,0.569770676242,-0.193665827793196,0,1.98666666666667,4,"random","degree",0,"<RuntimePrimitiveException>",272.686666666667,"<RuntimePrimitiveException>",0,"<RuntimePrimitiveException>",0.0584482806944568,"<RuntimePrimitiveException>",0.221979030187037,"<RuntimePrimitiveException>",0.389111437251399,"<RuntimePrimitiveException>",1.98666666666667,3.07285018977708,15,0.0309940161809029,2.22517008904726,0.030065727292707,2.22555076879946,0.0298898169689517,5970,8598.32978942918,0.178003101748063,0.0257651215390479,5.57161487715964,0.338757263361674,6.54666666666667,2.44286844999523,0.0351725332120032,0.018762329086335
16,150,0,4.62944071588367,0.575837226728321,-0.199915447355667,0,1.98666666666667,4,"random","degree",0,"<RuntimePrimitiveException>",270.393333333333,"<RuntimePrimitiveException>",0,"<RuntimePrimitiveException>",0.0779012735678874,"<RuntimePrimitiveException>",0.224940818572306,"<RuntimePrimitiveException>",0.383282729830361,"<RuntimePrimitiveException>",1.98666666666667,3.10675216388144,16,0.0315613148471773,2.2216863314244,0.0396503446734572,2.22207621330627,0.0394604513874147,5970,8276.17263939358,0.180555448750538,0.0310391366976222,5.77833821666477,0.414316990578958,6.92666666666667,2.6012301340502,0.0358993674282605,0.0198065154930281
17,150,0,5.99570469798658,0.570966164831391,-0.204369546107502,0,1.98666666666667,4,"random","degree",0,"<RuntimePrimitiveException>",372.18,"<RuntimePrimitiveException>",0,"<RuntimePrimitiveException>",0.0617601511078181,"<RuntimePrimitiveException>",0.173188368798385,"<RuntimePrimitiveException>",0.547957447068912,"<RuntimePrimitiveException>",1.98666666666667,2.96826529904205,17,0.0329045589330348,2.21688444263983,0.0522680673356678,2.21729458380549,0.0519985494551646,5970,6129.34409707945,0.182130992423107,0.0359470965255875,5.52797702378294,0.50131759569557,5.48,3.39506155364231,0.0360779505438543,0.0216429619646196
