"rep_id","condition","init","percent_bias","where_bias","level_bias","who_biased","size_net","mean_cond","std_cond"
1,"1",0,20,7,"highest","degree",150,0.0689177750224829,0.0211394875944359
1,"10",0,20,7,"highest","degree",150,0.0848711702579735,0.0299692738785962
1,"2",0,20,7,"highest","degree",150,0.0611094136236959,0.0202110239001776
1,"3",0,20,7,"highest","degree",150,0.0738540053678375,0.0271801077571222
1,"4",0,20,7,"highest","degree",150,0.0635314416009621,0.0242860601090268
1,"5",0,20,7,"highest","degree",150,0.0516302467043634,0.0162698947962886
1,"6",0,20,7,"highest","degree",150,0.0727402844114701,0.0238258667330614
1,"7",0,20,7,"highest","degree",150,0.38622395649352,0.0593258137036495
1,"8",0,20,7,"highest","degree",150,0.0645938239700706,0.0255367896065043
1,"9",0,20,7,"highest","degree",150,0.0725278825476244,0.0254443068733905
2,"1",0,20,7,"highest","degree",150,0.0802473381977155,0.0247619336438236
2,"10",0,20,7,"highest","degree",150,0.0621573143934685,0.0218367396396605
2,"2",0,20,7,"highest","degree",150,0.0726186216131163,0.0394389616524894
2,"3",0,20,7,"highest","degree",150,0.0630521597920337,0.0243053599295935
2,"4",0,20,7,"highest","degree",150,0.0682331147441924,0.0247404807955845
2,"5",0,20,7,"highest","degree",150,0.0676324070421265,0.0274345305328148
2,"6",0,20,7,"highest","degree",150,0.0657449259577761,0.0216494877490454
2,"7",0,20,7,"highest","degree",150,0.365805844630432,0.0585509161559551
2,"8",0,20,7,"highest","degree",150,0.0879354334152699,0.0193110996318455
2,"9",0,20,7,"highest","degree",150,0.0665728402138692,0.0318144940936
3,"1",0,20,7,"highest","degree",150,0.0712234179664822,0.0198494224917273
3,"10",0,20,7,"highest","degree",150,0.0646056408312125,0.0253496124881386
3,"2",0,20,7,"highest","degree",150,0.0554397207378341,0.0219653491370796
3,"3",0,20,7,"highest","degree",150,0.0930250284300468,0.0332874227294208
3,"4",0,20,7,"highest","degree",150,0.0908555912562578,0.021210267233589
3,"5",0,20,7,"highest","degree",150,0.049983297029098,0.0268001628915441
3,"6",0,20,7,"highest","degree",150,0.0709281969303783,0.0368837057366964
3,"7",0,20,7,"highest","degree",150,0.356608904620757,0.0791167353298869
3,"8",0,20,7,"highest","degree",150,0.0879570672534632,0.0293640205076189
3,"9",0,20,7,"highest","degree",150,0.0593731349444704,0.0285208151696399
4,"1",0,20,7,"highest","degree",150,0.0635435901331177,0.0333409795562646
4,"10",0,20,7,"highest","degree",150,0.058649660900444,0.0233794472192913
4,"2",0,20,7,"highest","degree",150,0.0828518112928942,0.0359242162997867
4,"3",0,20,7,"highest","degree",150,0.0705927054983993,0.0326836917978751
4,"4",0,20,7,"highest","degree",150,0.0641231294227922,0.0245565613334838
4,"5",0,20,7,"highest","degree",150,0.096982156214075,0.0407281578463056
4,"6",0,20,7,"highest","degree",150,0.0842113000489446,0.0320901519088567
4,"7",0,20,7,"highest","degree",150,0.35130872376308,0.0987131002482421
4,"8",0,20,7,"highest","degree",150,0.0715340733692998,0.0308694123711167
4,"9",0,20,7,"highest","degree",150,0.0562028493569533,0.019748510533856
5,"1",0,20,7,"highest","degree",150,0.0625760081935047,0.0219446958006114
5,"10",0,20,7,"highest","degree",150,0.0612190604377391,0.0224287830164698
5,"2",0,20,7,"highest","degree",150,0.0518937432277248,0.0203472561988407
5,"3",0,20,7,"highest","degree",150,0.0795969853133442,0.0245843852486825
5,"4",0,20,7,"highest","degree",150,0.0630772095810658,0.021343062661461
5,"5",0,20,7,"highest","degree",150,0.0629846182540324,0.0274317487028834
5,"6",0,20,7,"highest","degree",150,0.103758935326169,0.031096329837983
5,"7",0,20,7,"highest","degree",150,0.370070672883135,0.058938741288928
5,"8",0,20,7,"highest","degree",150,0.0676422427140595,0.0256197804717026
5,"9",0,20,7,"highest","degree",150,0.0771805240692255,0.0227738629546337
6,"1",0,20,7,"highest","degree",150,0.0841312346937328,0.0388431037790483
6,"10",0,20,7,"highest","degree",150,0.0578425349675267,0.0180400146298567
6,"2",0,20,7,"highest","degree",150,0.0827386281285778,0.0315518198880531
6,"3",0,20,7,"highest","degree",150,0.0653047187364398,0.0187480012305248
6,"4",0,20,7,"highest","degree",150,0.0779454208376139,0.0349264229564376
6,"5",0,20,7,"highest","degree",150,0.0769645710981593,0.0274142820837749
6,"6",0,20,7,"highest","degree",150,0.0622243874052254,0.0260177582608885
6,"7",0,20,7,"highest","degree",150,0.364128418823639,0.0884807635930768
6,"8",0,20,7,"highest","degree",150,0.0649114209994503,0.025979308528375
6,"9",0,20,7,"highest","degree",150,0.0638086643096349,0.0200601457704691
7,"1",0,20,7,"highest","degree",150,0.0648983188491367,0.0217959081834827
7,"10",0,20,7,"highest","degree",150,0.0733035486673594,0.0474242433642605
7,"2",0,20,7,"highest","degree",150,0.0859589546242253,0.0384027152238253
7,"3",0,20,7,"highest","degree",150,0.0895525379750095,0.0424457870255227
7,"4",0,20,7,"highest","degree",150,0.079251767862038,0.0481580306886277
7,"5",0,20,7,"highest","degree",150,0.0613530389022467,0.0180867466441549
7,"6",0,20,7,"highest","degree",150,0.0878019863992295,0.0429679872952466
7,"7",0,20,7,"highest","degree",150,0.338836029115034,0.0847280414269567
7,"8",0,20,7,"highest","degree",150,0.062018928822811,0.0238874840612415
7,"9",0,20,7,"highest","degree",150,0.0570248887829097,0.0179149967939239
8,"1",0,20,7,"highest","degree",150,0.0697835318229182,0.04095518569668
8,"10",0,20,7,"highest","degree",150,0.0851303164632683,0.0428566145139887
8,"2",0,20,7,"highest","degree",150,0.0616593706595824,0.0246306273394677
8,"3",0,20,7,"highest","degree",150,0.0752119555962402,0.040108155982847
8,"4",0,20,7,"highest","degree",150,0.0916874898063779,0.0363188606206942
8,"5",0,20,7,"highest","degree",150,0.0653174567335458,0.0194380860428645
8,"6",0,20,7,"highest","degree",150,0.0586428910453571,0.0274649531282954
8,"7",0,20,7,"highest","degree",150,0.34038655242695,0.0867849925136681
8,"8",0,20,7,"highest","degree",150,0.0786917952910375,0.0324923365672102
8,"9",0,20,7,"highest","degree",150,0.0734886401547227,0.0280582729048952
9,"1",0,20,7,"highest","degree",150,0.0621433001299537,0.0171940324275886
9,"10",0,20,7,"highest","degree",150,0.0786282449885929,0.0345063463950366
9,"2",0,20,7,"highest","degree",150,0.0629307100249625,0.0241236630344992
9,"3",0,20,7,"highest","degree",150,0.0825314241275322,0.0449847547982992
9,"4",0,20,7,"highest","degree",150,0.0852162307988564,0.0317259372475762
9,"5",0,20,7,"highest","degree",150,0.0791902914284459,0.0370823190661706
9,"6",0,20,7,"highest","degree",150,0.0713830325662337,0.029371500007211
9,"7",0,20,7,"highest","degree",150,0.323088972755858,0.0940521949418691
9,"8",0,20,7,"highest","degree",150,0.0840973721492798,0.0321394015523038
9,"9",0,20,7,"highest","degree",150,0.0707904210302846,0.0238065283216587
10,"1",0,20,7,"highest","degree",150,0.0780060250519462,0.0295963564777984
10,"10",0,20,7,"highest","degree",150,0.0689437556198499,0.0256063502765942
10,"2",0,20,7,"highest","degree",150,0.0614835945070716,0.0167206035170864
10,"3",0,20,7,"highest","degree",150,0.0558405881189877,0.0234894378757225
10,"4",0,20,7,"highest","degree",150,0.0817753536932363,0.032519912727316
10,"5",0,20,7,"highest","degree",150,0.0598520843661584,0.0225816094587538
10,"6",0,20,7,"highest","degree",150,0.0946878545640574,0.0276835917675535
10,"7",0,20,7,"highest","degree",150,0.36491232979662,0.0562812201232247
10,"8",0,20,7,"highest","degree",150,0.0694115088925286,0.0257409788076674
10,"9",0,20,7,"highest","degree",150,0.0650869053895439,0.024803642929328
11,"1",0,20,7,"highest","degree",150,0.0737482703764328,0.022009697031625
11,"10",0,20,7,"highest","degree",150,0.070696181820126,0.0284795631287181
11,"2",0,20,7,"highest","degree",150,0.0635297408909691,0.0269930420141861
11,"3",0,20,7,"highest","degree",150,0.0553468270754964,0.0232243005017108
11,"4",0,20,7,"highest","degree",150,0.0867247446701861,0.0369228563415293
11,"5",0,20,7,"highest","degree",150,0.0881572893681758,0.0294605022503952
11,"6",0,20,7,"highest","degree",150,0.0797054545635557,0.0303812116686632
11,"7",0,20,7,"highest","degree",150,0.359781282992723,0.0541255263048719
11,"8",0,20,7,"highest","degree",150,0.069545250396874,0.0202452300287341
11,"9",0,20,7,"highest","degree",150,0.0527649578454607,0.0186093490060477
12,"1",0,20,7,"highest","degree",150,0.059937345663461,0.0213662763600995
12,"10",0,20,7,"highest","degree",150,0.0686008999001118,0.0284569234361158
12,"2",0,20,7,"highest","degree",150,0.0683659761527279,0.0365175346005717
12,"3",0,20,7,"highest","degree",150,0.0793094524170622,0.0264507337058616
12,"4",0,20,7,"highest","degree",150,0.0633436615642956,0.0254253487968297
12,"5",0,20,7,"highest","degree",150,0.0889577481013911,0.0287411676823189
12,"6",0,20,7,"highest","degree",150,0.0680188597371864,0.023457984988011
12,"7",0,20,7,"highest","degree",150,0.35393873503104,0.0697842710140206
12,"8",0,20,7,"highest","degree",150,0.069496824059207,0.0413224883318515
12,"9",0,20,7,"highest","degree",150,0.0800304973735168,0.0315851802809238
13,"1",0,20,7,"highest","degree",150,0.0877517118264909,0.0324500596175349
13,"10",0,20,7,"highest","degree",150,0.0816706622904027,0.0356929068310719
13,"2",0,20,7,"highest","degree",150,0.0563540617768239,0.0221657130273093
13,"3",0,20,7,"highest","degree",150,0.0757942581889815,0.0217928876128306
13,"4",0,20,7,"highest","degree",150,0.106152727548731,0.0460032160875404
13,"5",0,20,7,"highest","degree",150,0.0872581926701888,0.0352815229944282
13,"6",0,20,7,"highest","degree",150,0.0689426779277365,0.034195708244383
13,"7",0,20,7,"highest","degree",150,0.310796945890435,0.0835590845641629
13,"8",0,20,7,"highest","degree",150,0.0618095338247976,0.0294653816823993
