"","rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","rewire","neighbors","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean","clus_type"
"1",1,150,0.567009146702871,1.68062639821029,0.5666362099684,0.0444904916238715,0,0.1,48,0.000282506382759491,2.27735355307528,0.00220266614983999,2.27735679176924,0.0022023729866587,144010,6427.70847515744,0.138650231200461,0.00133701595600322,5.7449592938444,0.0295394648257492,9,0,0.00298910852363529,0.023049279361752,"big"
"2",2,150,0.583510530341047,1.68563758389262,0.554553204600824,-0.0239447572748348,0,0.1,48,0.000515819457002099,2.27700172310931,0.00133703792998567,2.27700498662735,0.00133686087779414,144010,6168.7674032312,0.140338432039098,0.00249313018182704,5.83319047607866,0.0186146539275792,10,0,0.0040533203225244,0.0231863615228197,"big"
"3",3,150,0.562063547065438,1.68053691275168,0.544200958956259,0.0101157941092659,0,0.1,48,0.000410160178042757,2.22051576397676,0.00433012593017875,2.22052666190829,0.00432953895568924,144010,6916.56895971526,0.174157150473452,0.00795132199202571,6.07835638342889,0.0219165394115472,5.03333333333333,0.408248290463863,0.00358226054084769,0.0416685051529184,"big"
"4",4,150,0.594524014267329,1.68724832214765,0.562912351639962,0.0160156915418349,0,0.1,48,0.000658929114322575,2.27464892899959,0.00463238729094775,2.27465241419223,0.00463179797304693,144010,6060.10166703209,0.150022826283741,0.00957132218896891,5.62769419378398,0.0561796357716371,9,0,0.00456386649473705,0.0247504606550838,"big"
"5",5,150,0.581379826173014,1.68393736017897,0.548112818771017,-0.011027969094624,0,0.1,48,0.00047158991484487,2.25302316472283,0.00399606198396851,2.2530293343103,0.00399552906613566,144010,6408.88644799982,0.161167969305456,0.00357147954720194,5.17421735997446,0.0612337875326767,3.05333333333333,2.005986565984,0.00398564873292178,0.0335853534885285,"big"
"6",6,150,0.581108558169428,1.68420581655481,0.552390649858736,-0.00190065069141399,0,0.1,48,0.00048682683647455,2.28321231891477,0.0021641374411914,2.28321479734225,0.0021638672422793,144010,6548.73316300706,0.12844663308181,0.00677687063029093,5.29074455528609,0.0455153310804291,5.21333333333333,0.993851343094138,0.00390261373111651,0.0198883239687702,"big"
"7",7,150,0.590496309327797,1.68501118568233,0.578210135081833,-0.0149039770861648,0,0.1,48,0.000465321149602775,2.2544768824908,0.00553398031449776,2.25448300086322,0.00553331297113963,144010,6548.73316300706,0.170553942408922,0.0045945801534821,5.47770230224284,0.0117726847771063,2,0,0.00399342305929048,0.0327443580402426,"big"
"8",8,150,0.585303965435012,1.68375838926174,0.565444556096615,0.00113800319874356,0,0.1,48,0.000405486914483924,2.27018320334044,0.00297249026821203,2.27018727529095,0.00297210084855425,144010,5440.34148158382,0.154480307347223,0.00603032700726195,5.45433048264905,0.0190730071395489,6,0,0.00359063004492743,0.0267622084444655,"big"
"9",9,150,0.589963432543399,1.682774049217,0.579212960432189,0.00841836316884176,0,0.1,48,0.000742640149941631,2.25476238467597,0.00502080284756045,2.25476868614851,0.00502017122635442,144010,5815.96968318308,0.148580240669022,0.00489803242914466,5.92833534193747,0.107821270455598,8.77333333333333,0.977235291174891,0.00465465827937001,0.0312850000759424,"big"
"10",10,150,0.577537270842621,1.68143176733781,0.546280284821129,-0.0110390456473586,0,0.1,48,0.000235947397870729,2.26778532074213,0.00235158027417101,2.26778966905414,0.00235128734131272,144010,6217.53312181008,0.153762137632943,0.00334760321236137,5.46830085695295,0.00599452118306192,2,0,0.00275532834511563,0.0280005088360101,"big"
"11",11,150,0.594461792360457,1.6861744966443,0.565305955933853,0.00218310821705595,0,0.1,48,0.000368431448035101,2.24493279369335,0.00197818710972732,2.24494061134121,0.00197798582859047,144010,6323.49406429768,0.150879971396597,0.00329064724118823,5.63707776596203,0.0225972463988131,3.61333333333333,3.76452295910381,0.00341349125790008,0.0341673265906026,"big"
"12",12,150,0.580678317702366,1.68196868008949,0.591458421336687,-0.0168075213916868,0,0.1,48,0.000384213091992897,2.29175591813597,0.000275129247094744,2.29175728036328,0.000275095587928276,144010,6352.08574317055,0.12332752013046,0.0045843422737431,5.70476888790416,0.033715615836057,8.32,1.50756481713137,0.00363482758939959,0.0149398729694502,"big"
"13",13,150,0.599193513267977,1.68715883668904,0.538091947305226,0.00460633738049701,0,0.1,48,0.000357755137029156,2.27152776433515,0.00311932242223291,2.2715318040912,0.00311893164217195,144010,6040.13422669646,0.1309662607637,0.00306273097424351,5.44150049083796,0.0371262900104409,2.86666666666667,2.00223588666803,0.00346221927929294,0.0252536219910275,"big"
"14",14,150,0.582568936358097,1.68241610738255,0.542800709670892,0.00721877956524308,0,0.1,48,0.000271805943590775,2.28893635607413,0.00281256435683797,2.28893805802821,0.00281221246411782,144010,6119.61309475772,0.13285446460514,0.00653232914007458,5.38884842955303,0.0292085238270783,1,0,0.00283280351928701,0.0172316665199717,"big"
"15",15,150,0.577566047334885,1.68098434004474,0.586980334966649,-0.0165342593417607,0,0.1,48,0.000509660232527255,2.272972973903,0.00101397862173592,2.27297681434696,0.00101382758378997,144010,6483.84673294919,0.135402002888108,0.00570801957255489,5.29043954962817,0.0688481665727092,5.98666666666667,2.59578043421238,0.00422490962485182,0.0245874759028105,"big"
