"","path_small","path_high","neigh_small","neigh_high","diff_path","diff_neigh"
"pathlength",4.31422857142857,4.68773605442177,1.78552380952381,1.77719727891156,0.373507482993197,-0.00832653061224486
"neighbors",2.46746666666667,2.46066666666667,11.9789333333333,12.6928,-0.00680000000000014,0.713866666666666
"clustering",0.0285248677248677,0.0367852380952381,0.245041704383719,0.253175780048337,0.00826037037037037,0.00813407566461746
"assortativity",-0.104184236168533,-0.103856036711452,0.0138244676839963,0.0249452255350394,0.000328199457080708,0.0111207578510431
"size",50,50,50,50,0,0
"exponent",NA,NA,NA,NA,NA,NA
