"","path_small","path_high","ass_small","ass_high","exp_small","exp_high","size_small","size_high","diff_path","diff_ass","diff_exp","diff_size"
"pathlength",3.37423945578231,4.98700680272109,4.0074693877551,4.01607074829932,4.10123265306122,4.09347210884354,4.49007619047619,4.49967609427609,1.61276734693878,0.00860136054421723,-0.00776054421768713,0.00959990379990394
"neighbors",1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.98,0,0,0,0.02
"clustering",0,0,0,0,0,0,0,0,0,0,0,0
"assortativity",-0.312599891706374,-0.305736502653946,-0.483200797161806,-0.165038323286928,-0.35453107951776,-0.345906064097964,-0.297441628645612,-0.290803910357657,0.00686338905242856,0.318162473874878,0.00862501541979616,0.00663771828795467
"exponent",2.79897846828979,2.79042888689528,2.74704805943927,2.75290029722535,2.55233245819866,3.03760006557038,2.84854861892155,2.85160648939162,-0.00854958139451378,0.00585223778607746,0.485267607371729,0.00305787047007078
"size",50,50,50,50,50,50,50,100,0,0,0,50
