"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","neighbors","exponent","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
50,50,0,3.45877551020408,0.538253133519147,-0.446496840390452,0,1.96,3.14603360722912,0.0175061276971782,2.2290743023829,0.0238752668687425,2.22944238395473,0.0237459830209847,5890,8198.15808083544,0.177733094763049,0.0161695703792868,4.99503512576951,0.247442169954295,2.4,1.96914982172717,0.0256406371302237,0.0303814074665167
51,50,0,3.23836734693878,0.614079575727449,-0.426167535407782,0,1.96,3.04018671648575,0.0167351551371023,2.22814667941409,0.0216036763530698,2.22853216598622,0.0214700595651843,5890,9939.90103839375,0.184744729726141,0.0226994169011783,5.21513376914695,0.233469547900519,2.86,2.46617939662275,0.0245661999318354,0.0314629781428117
52,50,0,4.40163265306122,0.574763591319791,-0.230758139400755,0,1.96,2.82557114149059,0.0274040170616474,2.20714576623907,0.0481303277470206,2.20758599096839,0.0478963689881381,5890,5812.16177422789,0.188569133242515,0.0362624447738684,5.60024127391977,0.404949656137305,6.16,3.65535670667874,0.0326607162342392,0.0307423686698145
53,50,0,4.09714285714286,0.571666560284072,-0.334730225248821,0,1.96,2.9159590468759,0.0312575756815879,2.21897966157109,0.047321605931838,2.2193834153502,0.0470682788966771,5892.35294117647,6176.23528963568,0.177521404041451,0.0413309598905686,5.6107191085377,0.196815662095678,6.41176470588235,2.273116544203,0.0339723746822796,0.0228267784395786
54,50,0,3.61877551020408,0.629092331493106,-0.473455178416014,0,1.96,2.8784043987472,0.0197771578452133,2.20828658301106,0.0295292165736391,2.20879224315767,0.0293596942340457,5890,7737.10909467206,0.17081992930421,0.0305864178049039,5.60592872703333,0.300357397233228,4.4,1.35526185435788,0.0275718858589798,0.0336517134131987
55,50,0,3.8065306122449,0.612868273575317,-0.417037051413931,0,1.96,2.73001059633836,0.0381301088535311,2.18053285615104,0.0510807022712641,2.1811170543502,0.0508302287995266,5890,7272.08809807214,0.223096990225543,0.0316248236963083,6.07089485181643,0.300844184494117,9.08,0.965528299926617,0.0380114250155517,0.0347140630332545
56,50,0,4.24489795918367,0.568153636450566,-0.173552017567939,0,1.96,2.57010659035728,0.0235438250780734,2.23939398771216,0.0175928899722133,2.23968120149085,0.0174843634713423,5890,5033.11483059538,0.177030971608127,0.0211591346883425,5.4928838680635,0.405839572624014,5.56,2.79328641202291,0.0288185324089957,0.0198510624895563
57,50,0,3.9534693877551,0.618990272506499,-0.375703817971461,0,1.96,2.83216292046577,0.0284645871768053,2.22132959907586,0.0504575738681323,2.22173897383963,0.0501524234273231,5890,6526.67993856051,0.184773259654406,0.0376326868794056,5.62288306041826,0.397026986961363,4.84,2.47732574707947,0.032656952590127,0.0237766788245573
58,50,0,4.16979591836735,0.641496876828947,-0.371898818742219,0,1.96,2.92817018870765,0.0389261388414922,2.20546155754753,0.057736392446098,2.20590502862714,0.0574768344251681,5890,6413.1242982891,0.210195103845544,0.0524442975775556,5.19574469321509,0.305884513587236,3.96,1.60305830161206,0.0374292375446778,0.0236798655070299
59,50,0,3.91755102040816,0.585351721573835,-0.230994152046784,0,1.96,2.93653361152562,0.0259186966130211,2.24167336675051,0.0376681391103646,2.24196159665204,0.0374699116518969,5890,6059.70296301725,0.16946466905437,0.0343424259342714,5.36540035415281,0.431561146034571,5.12,2.82582839578927,0.0313913758602111,0.0149618454706914
60,50,0,3.97632653061225,0.525932298594369,-0.299061586585303,0,1.96,2.92704541017123,0.0280484747709575,2.22578066258803,0.0397053367551991,2.22614445879024,0.0394959390348436,5890,7347.46936859549,0.177429188628215,0.0253838085805598,5.37309506350488,0.309970904995303,4.74,2.11708309150268,0.0323002938521868,0.0222705728384651
61,50,0,4.39183673469388,0.625113341007905,-0.299242424242424,0,1.96,2.74415799378163,0.0231813045256288,2.2148728984944,0.027762184334522,2.21530180245187,0.0276034284225535,5890,5684.35015940203,0.172301735527534,0.0207343318025177,5.56918349638639,0.235140729150112,5.5,2.77929663690625,0.0295597230875525,0.0290748989473425
