"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","connec","neighbors","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
1,50,0.101333333333333,"3.987755102040816",0.582084639391963,-0.187380497131931,0,0.05,2.76,0.0147687539087119,2.24735166879403,0.0189174899006398,2.24752415779904,0.0188048727929388,8290,4000.20407642675,0.157409435533077,0.0115956473597398,5.68517071407611,0.159570767451137,5.3,2.67452074669272,0.0239920624430202,0.0234363028525705
2,50,0.00961904761904762,"3.6857142857142855",0.607170005194475,0.0545938748335552,0,0.05,2.84,0.00814959695216137,2.2588764237689,0.0104332918855056,2.25900452887314,0.0103796193565874,8530,4258.19737658545,0.14927611259427,0.0146983655890399,5.48151464308084,0.142684640497375,5.5,2.95026806115191,0.0172333868177209,0.0245448937598703
3,50,0.00933333333333333,"3.8604081632653062",0.533477564501855,-0.0227445034116755,0,0.05,2.84,0.0137979866469478,2.25162989528911,0.0311493709909072,2.2517991048511,0.0310040852786797,8530,4590.31811622716,0.155823565060262,0.0246540738501749,5.33004758266538,0.359079505239035,3.82,3.03510077834227,0.0229778271722582,0.0227848408505338
4,50,0.0409523809523809,"3.889795918367347",0.570839740283367,-0.035825276243094,0,0.05,2.84,0.0146795452371006,2.23477512249127,0.0358915407757944,2.23496967728449,0.0358124067614648,8530,4427.37310976399,0.175729844250141,0.0361399442113948,5.56064106856251,0.279250101621275,6.68,2.41964746968459,0.0231578662237315,0.0302590370738529
5,50,0.0142857142857143,"4.211428571428572",0.568065030698364,-0.0526421539079767,0,0.05,2.48,0.0146234493201266,2.26037307895767,0.0252911260207041,2.26052843799209,0.025160175603849,7450,4380.6625162905,0.15218329399671,0.0216137961281195,5.38671818046191,0.256176858294162,4.5,2.8943999413364,0.0232182483190389,0.0172147938320953
6,50,0.0172380952380952,"3.866122448979592",0.55161442089034,-0.178087495160666,0,0.05,2.72,0.00884737701971608,2.24070755143669,0.0255373745390253,2.24091481529127,0.0253946749325276,8170,4330.05632239375,0.165145021130998,0.0203470462261442,5.59530911752051,0.193299807207427,5.96,1.47024918060213,0.0181605458135848,0.0317365516258509
7,50,0,"4.985306122448979",0.559598173312479,-0.186108388180926,0,0.05,2.2,0.0189557538602954,2.24370184395037,0.0235928632521211,2.24394089544938,0.0234624161749873,6610,3880.87934491604,0.15638029071292,0.0141212824241179,5.66682781810635,0.176224660150188,6.54,2.04250746257973,0.0268999362017195,0.0210582432533596
8,50,0.02,"3.9828571428571427",0.570669795439546,-0.00126262626262622,0,0.05,2.6,0.0132887784985139,2.23864526632885,0.0389331295079506,2.23886537194842,0.0387453439310484,7810,4110.71273426805,0.171975619159548,0.0343460537716672,5.98299682543851,0.179157249527189,8.3,1.03509833901353,0.0227086675393902,0.0297211940521862
9,50,0,"4.469387755102041",0.524440637828555,-0.241523213354199,0,0.05,2.4,0.0153963263902633,2.24214550825108,0.0319970852078505,2.24236685434293,0.031839792957736,7210,3785.04037128336,0.160912162212744,0.0243703964584869,5.56532810638531,0.292237032162965,6.42,2.5958365408744,0.0243941599655911,0.0259487881411174
10,50,0.036,"4.284081632653061",0.60922495513997,-0.046537842190016,0,0.05,2.68,0.0195745687030895,2.2406867640533,0.0652910170054912,2.24089219804354,0.0650032498636186,8050,3757.76746573422,0.17178715304913,0.0478054383845565,5.63726032046986,0.168764406266329,6.48,3.35175860024043,0.0275703467027385,0.0235043957755775
