"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","rewire","neighbors","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
72,150,0.206666666666667,4.33914988814318,0.550456527189616,-0.0195674562306899,20,0.3,4,0.00253272994442248,1.18812580930718,0.0653032963379667,1.18971910499474,0.0652186193182286,12030,2907.98484159154,0.72165296477888,0.0218400458530566,4.44591584699714,0.067763383350971,4,0,0.00931508443841952,0.218518064060502
73,150,0.219555555555556,4.33440715883669,0.554358145470414,-0.0298703013437069,20,0.3,4,0.00274452592056781,1.26660987150353,0.0602383272567072,1.26810899255621,0.0600393248489843,12030,3089.27566932345,0.696824038589402,0.0194002453172995,4.55414662671836,0.108059368981905,4,0,0.00968393523591897,0.209758072715384
74,150,0.22047619047619,4.27695749440716,0.566627314090001,-0.0649301800742872,20,0.3,4,0.0032013835473745,1.27388552866835,0.0764363463051142,1.27535359560447,0.0763236796538394,12030,2866.14115156095,0.693702007051408,0.0263159642289524,4.45569398222733,0.0812239797243105,4,0,0.0106675506702258,0.208678297521829
75,150,0.187936507936508,4.18201342281879,0.559814217273578,-0.00386593238265453,20,0.3,4,0.00208693260742927,1.18414810453024,0.0533384950351657,1.18576321797621,0.0532578765497929,12030,3147.38625981248,0.72411899365396,0.0166717758300577,4.5259739498309,0.0510406595413652,4,0,0.00834686238404603,0.219340445184826
76,300,0.192920634920635,4.99857302118172,0.568149547052652,-0.0594257482335823,0,0.3,4,0.00997046443393003,2.275471328793,0.0138426625030698,2.27551674202445,0.0138133975305463,12010,2994.97907597897,0.143453361457569,0.0178587493219367,5.51722142973774,0.185520080115412,6.02666666666667,2.75765075402224,0.0201513600314861,0.0127468616431197
77,300,0.177015873015873,4.91663322185061,0.562422839038411,-0.0876016855855841,0,0.3,4,0.0100228940737687,2.27645657074901,0.0127906744400138,2.27649987493044,0.0127673199231108,11980.1986754967,3145.80973634357,0.139876401007709,0.0155650617690739,5.59360886417112,0.153944805965282,6.35430463576159,3.35352712815142,0.0200319745359149,0.0116498069117118
78,300,0.17184126984127,4.91386845039019,0.553397735132198,-0.0820900427209979,0,0.3,4,0.00975923786587247,2.27204396271272,0.016216097389364,2.27209468062926,0.01618332688567,12010,3049.59013639538,0.147184379990205,0.0197199794940334,5.75091114546052,0.221248404950098,7.53820598006645,2.85704429508845,0.0198655783877083,0.015941286656014
79,300,0.177492063492064,5.09150501672241,0.551085448273367,-0.0076081101538874,0,0.3,4,0.014227655570802,2.27058143262714,0.021294654944541,2.27063407011388,0.0212568808528777,12019.9667774086,2677.66695692835,0.146239812384361,0.0226355910936169,5.39012139336745,0.241443622441371,5.0265780730897,2.83771467641086,0.0239621437729619,0.00885533738871707
80,300,0.172269841269841,4.91005574136009,0.549029515216294,-0.111333284221381,0,0.3,4,0.00961122211325798,2.28057374755652,0.0137288208046697,2.28060992478481,0.0137051876563354,12000.0332225914,3044.65110188769,0.136621266024981,0.0145770387870438,5.49465451466126,0.202528015391368,5.41528239202658,2.11115268751195,0.0194136402132016,0.00793421187469618
81,300,0.201793650793651,4.95110367892977,0.587885326215155,-0.0286455045161072,5,0.3,4,0.00835178794236642,1.99422089406277,0.0509920749495431,1.99466454745213,0.050913689295868,12015,2974.81063729428,0.382713923605575,0.029966997764853,5.03238444191923,0.139187871255974,4,0,0.0181523294855678,0.0999641590983235
82,300,0.179809523809524,4.95469342251951,0.574546425639561,-0.0437356132851037,5,0.3,4,0.00623923811139617,2.0041075405365,0.0449147770598721,2.00452868448174,0.0448457833000879,12015,2797.51442472094,0.382724522808998,0.0253309325405639,4.92970915283742,0.175664195545908,4,0,0.0154699707231891,0.0995794193934553
83,300,0.16871164021164,4.92800445930881,0.555099637689493,-0.0874660571902591,5,0.3,4,0.00659826969236531,2.01428807954714,0.0395944931768562,2.01469803557064,0.0395268253002091,12015,3170.72731493669,0.377206562411026,0.0225130157930969,5.05824740568939,0.146473799755223,4,0,0.0158410104077171,0.0975180288671096
84,300,0.185039682539683,4.98445930880713,0.547384731123294,-0.0453941376219329,5,0.3,4,0.00814010053670573,1.96827214942665,0.0406478295075905,1.96875220522908,0.0405813645790636,12015,3170.72731493669,0.400809679716166,0.0231001315617001,5.06525600779931,0.147852499595929,4,0,0.0173456228664535,0.105831701788336
85,300,0.213142857142857,4.97538461538462,0.586004296704471,-0.0418313850944522,5,0.3,4,0.00665909475146059,1.96005308403302,0.0511337638858724,1.96053734897028,0.051043741084182,12015,2840.22703883105,0.405718731699105,0.0265470414441963,5.12336294079606,0.143477734313266,4,0,0.0160610691286234,0.10777429778561
86,300,0.188460317460318,4.97823857302118,0.551484787937939,-0.0235511538643789,20,0.3,4,0.00355592944993256,1.26565249144952,0.078664506171191,1.26713503264212,0.07853354354667,12030,2934.05788153095,0.696778846346481,0.0270034282369566,4.4652988379598,0.0828320814569511,4,0,0.0113302831290579,0.209719515020268
87,300,0.208730158730159,5.02055741360089,0.558020466067928,-0.0996708185792322,20,0.3,4,0.00339509383998788,1.24818706314121,0.0882899491062309,1.24970810683127,0.0881259607952951,12030,3015.01260417672,0.702890934433258,0.0299572082082876,4.50093527790986,0.0777191710831572,4,0,0.0112203555473277,0.211858429456001
88,300,0.152761904761905,4.91246376811594,0.552269993137258,-0.0577820209603574,20,0.3,4,0.00259778404530307,1.2609788044377,0.0720135969687224,1.262475728319,0.0718577888664006,12030,3024.97961517773,0.699303967323269,0.0235600736546066,4.53332797917486,0.0867819292470905,4,0,0.00971261606261668,0.210609967690674
89,300,0.232603174603175,5.082497212932,0.549398370009115,-0.037297358576125,20,0.3,4,0.00350694402766498,1.28946561423676,0.0622183976998383,1.29091757411254,0.0621153006493189,12030,2882.30676849157,0.688779331043759,0.022643677903451,4.49745289282719,0.112219839918516,4,0,0.0110783566822022,0.206915964438933
90,300,0.181634920634921,5.01790412486065,0.567626694178505,-0.0298104539273378,20,0.3,4,0.00272916152164986,1.25028115401126,0.0603100039752093,1.25178016184221,0.0602003543817894,12030,2871.84464043513,0.70262373808999,0.0200498515545284,4.4911766463526,0.078989933390471,4,0,0.00972802061039266,0.211768454921895
