"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","neighbors","exponent","density","path_type","ass_type","exp_type","size_type","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
423,50,0,4.4130612244898,0.506716718725151,-0.332935948845779,0,1.96,2.82420220144727,10.1816639636009,"unknown","unknown","unknown","small",0.024191884049823,2.19920337499937,0.042069558066677,2.19970276586709,0.0418622332859302,5890,5998.77538523064,0.199918109455549,0.04132727285411,5.24812265636475,0.332728367567302,6.32,4.02765947124711,0.0304436314427989,0.0360699577134377
424,50,0,4.41877551020408,0.440388328381797,-0.298147573217427,0,1.96,2.87045874051777,12.7012915396829,"unknown","unknown","unknown","small",0.0248221949901343,2.24086543854282,0.0287381666779758,2.2411663793515,0.028583297774457,5890,5586.57282404583,0.161997086640455,0.0206604219188524,5.30398801152319,0.376898385185802,5.5,3.27794111588108,0.0299849732408053,0.0161954415512693
425,50,0,4.4734693877551,0.533417054438054,-0.306666666666667,0,1.96,2.82230584324607,12.8718822140315,"unknown","unknown","unknown","small",0.028805985904122,2.21289045050695,0.0549645201224948,2.21332779475143,0.0546562813636881,5890,5212.38712988941,0.180284487551614,0.0350816079493987,5.8227538833842,0.295025239603269,6.56,1.98113552266968,0.0335929160996909,0.0268684327255668
426,50,0,4.4930612244898,0.512340708541587,-0.337872399253473,0,1.96,2.82489171932742,10.1816639636009,"unknown","unknown","unknown","small",0.0268616632978527,2.21773219579508,0.0293267631558109,2.21812213248887,0.0291738913653252,5890,5247.50669657622,0.187266224905434,0.0289137686049411,5.63843003827865,0.310920711500856,6.76,3.32927644281052,0.0321113296459445,0.0274275771608207
427,50,0,4.45795918367347,0.523488223616072,-0.320970165271518,0,1.96,2.87325020543984,11.2922941400809,"unknown","unknown","unknown","small",0.0264628480840773,2.21173797562488,0.0237180912446075,2.21217057323963,0.0235638486380467,5890,5586.57282404583,0.182295459227068,0.018286462989548,5.40937098419339,0.461743782968758,5.24,2.20907220343745,0.0320430500970872,0.0284577224502802
428,50,0,4.45632653061224,0.420013310392105,-0.28271016794187,0,1.96,2.84093942426149,12.685759511775,"unknown","unknown","unknown","small",0.0320163903847793,2.19210375771552,0.054794432927095,2.1926147969075,0.0545058889624988,5890,5520.42589306444,0.205163500797712,0.0534203957864097,4.97792298963086,0.39867829633846,3.82,1.98658768048251,0.0347446356028457,0.0343003197891122
429,50,0,4.58204081632653,0.504729969775114,-0.333506673600277,0,1.96,2.81940529700217,10.9752348258887,"unknown","unknown","unknown","small",0.0446448489455122,2.18393888068684,0.0406027443264516,2.18449212468344,0.0403927011140634,5890,5317.04997232143,0.205735641780112,0.0393129777869632,5.17389402689016,0.392221666685775,4.84,2.52627013922235,0.0408895019929156,0.026761874351571
430,50,0,4.52816326530612,0.511641864488559,-0.26589259796807,0,1.96,2.83820657794156,12.5782179485068,"unknown","unknown","unknown","small",0.0277144662979733,2.22577869467563,0.0343039792459941,2.22613158745654,0.0341354596466109,5890,5419.69198612705,0.172448617022029,0.028195939875454,5.5673072406199,0.323009040450169,5.82,2.85492771272723,0.0323878013185591,0.0221996671501617
431,50,0,4.58285714285714,0.519292318010846,-0.343449141900377,0,1.96,2.83869350852057,9.35403931793619,"unknown","unknown","unknown","small",0.0269232849050797,2.231250355166,0.035600742463279,2.23158586135108,0.035433806337693,5890,5651.94566462898,0.174402515061038,0.0394447693013797,5.25740308688742,0.12313905683667,4.08,1.15775997653456,0.0298198345867252,0.0197588307168472
432,50,0,4.52734693877551,0.495649275588803,-0.300494826810616,0,1.96,2.88461110773614,13.8033412918816,"unknown","unknown","unknown","small",0.0320009718018759,2.2022532428345,0.0396081221819617,2.20273183175827,0.0393763666469201,5890,6326.62014419861,0.182793655223839,0.0200240719777372,5.51448677608262,0.249028656767908,4.62,2.89890901364423,0.0347743540365549,0.0284258353513505
433,50,0,4.41714285714286,0.465405051388899,-0.253816212557116,0,1.96,2.88311863188415,14.3504196346868,"unknown","unknown","unknown","small",0.0247044105705305,2.20541779953423,0.0464159216079522,2.2058675173174,0.0461864674976631,5890,5748.61118986533,0.187780471056373,0.0387075017663958,5.58488022993061,0.208871639674211,5.26,1.84954489713838,0.030624564702894,0.0330930848712252
434,50,0,4.4734693877551,0.534695392542764,-0.271671587234641,0,1.96,2.87325020543984,13.6963092980942,"unknown","unknown","unknown","small",0.0369845626059264,2.20886234707497,0.0571926223229724,2.20930194330174,0.0569051651486937,5890,5968.0783493243,0.186946679242908,0.0334675944897824,5.72343442969976,0.25462622465667,9.32,1.54444362877024,0.0369256538209318,0.0222000689023106
435,50,0,4.56326530612245,0.504676029838752,-0.335930784467616,0,1.96,2.84994210773907,9.31989484493482,"unknown","unknown","unknown","small",0.0313798368228663,2.23106694322567,0.0322167315137506,2.23142287157177,0.0320316192995269,5890,6693.40217326445,0.169308710714481,0.0213567965966033,5.41621845457713,0.707977182418458,5.58,3.90755417004509,0.0334526202107843,0.0137406945587197
436,50,0,4.43265306122449,0.485265970331379,-0.319205651072904,0,1.96,2.82103438682423,11.2885099221692,"unknown","unknown","unknown","small",0.0245354930610401,2.22941195367922,0.0386480497931922,2.22975348136036,0.0384433964793835,6127.64705882353,6088.17561778085,0.162993149154132,0.023646212092236,5.21050292161472,0.241706425822952,3.27450980392157,1.57579733941328,0.0310722162387359,0.0234020845359965
437,50,0,4.48408163265306,0.522085277818189,-0.325708313980493,0,1.96,2.8146591582953,11.493177659818,"unknown","unknown","unknown","small",0.0229652286028515,2.23482957641702,0.0366789016747669,2.23515030087583,0.0364954582378121,5890,5875.02496738073,0.170118262899406,0.0324211949997383,5.48700533979832,0.307388332556566,4.92,3.25664156543429,0.0297039704101086,0.022606480705245
438,50,0,4.53959183673469,0.491855086115951,-0.349425287356322,0,1.96,2.86310075889541,7.39106986518268,"unknown","unknown","unknown","small",0.026982619397015,2.22543207635512,0.024418340701097,2.22582179834326,0.0242613881343811,5726.98113207547,5496.07327829664,0.167793601043395,0.0213764033116892,5.67593086520183,0.243655998335354,6.13207547169811,2.13070714019346,0.0319894905214683,0.0219007364861695
