"rep_id","size_net","clus_coeff","pathlength","connec","init_mode","assortativity","init","neighbors","path_type","neigh_type","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
12,50,0.0681428571428571,4.11918367346939,0.06,0.571364738505273,-0.11739417989418,0,2.48,"small","unknown",0.0207421787699881,2.21807408395744,0.0408024233710248,2.21838814611399,0.0405870052698037,7450,4625.39573596527,0.187526525301808,0.0392150318279327,5.17866551220524,0.230391024776192,4,2.84282124887606,0.0283207667754645,0.0321450762800802
13,50,0.04,4.13795918367347,0.06,0.586991844631718,-0.0916164170394864,0,2.44,"small","unknown",0.0175825532907512,2.25302039139759,0.0202394442836801,2.25320784688241,0.0201322847689614,7330,4622.21786150152,0.160138568408742,0.0238829644894418,5.11485782500581,0.26984937210999,2.66,1.7333464154399,0.0263397142121356,0.0184108627993476
14,50,0.0253333333333333,4.14204081632653,0.06,0.536037844718702,-0.119676549865229,0,2.48,"small","unknown",0.0163093859949208,2.23935408156355,0.0260950740576176,2.23958572829991,0.0259485261608333,7450,4031.30606273309,0.157699243418736,0.0200080823246325,5.7609326312804,0.209919565848328,5.8,3.42857142857143,0.0250247230791382,0.0252505447409151
15,50,0.0686666666666667,4.15183673469388,0.06,0.505826977553599,-0.129290376921457,0,2.48,"small","unknown",0.0132972386901373,2.23469230927633,0.0255811002437544,2.23492795009133,0.0254935458445642,7450,4463.7313941571,0.182486616667164,0.0228483224318369,5.48600292090249,0.204479612315731,4.94,1.67100116635482,0.0228473089480757,0.0320134190278916
16,50,0.0366666666666667,4.15591836734694,0.06,0.596281247983444,-0.0952794671300317,0,2.48,"small","unknown",0.0165209092693907,2.23251066323836,0.0329675549724726,2.23275687498979,0.0327968869586316,7450,3939.12867191179,0.16990069875078,0.0303462214195912,5.96569540852897,0.263766157805665,6.58,2.57214275796406,0.0253900822925028,0.0283255440585244
17,50,0.0199047619047619,4.19265306122449,0.06,0.4785496553579,-0.13655567490154,0,2.48,"small","unknown",0.0331490395499604,2.1911519607861,0.0678986526362908,2.1915782103247,0.0676165635989879,7450,4969.95051919688,0.18683054792398,0.0333227986439818,5.37960161292345,0.232619368548784,4.04,1.57739128478197,0.0352667454883392,0.0308277146217344
18,50,0.0512539682539682,4.19428571428571,0.06,0.584636898481466,-0.000917262887543562,0,2.48,"small","unknown",0.0167579959011784,2.2451034051858,0.0174082781208802,2.24533474450397,0.0172778831633167,7450,5496.41812864505,0.167463666663452,0.0153635204859323,5.92002566016574,0.219936381655555,7.76,2.39523336172968,0.0246825799116641,0.0232927495143541
19,50,0.00733333333333333,4.20081632653061,0.06,0.52853655442554,-0.00487238979118333,0,2.44,"small","unknown",0.0195010323825531,2.25404045222081,0.0269301488179081,2.25423043219353,0.0267816664028793,7330,4249.56180213961,0.152616687955292,0.016944664574547,5.54628659327473,0.210824392279733,4.54,2.93612266884928,0.0271161754567271,0.0148681333938045
20,50,0.012,4.20408163265306,0.06,0.610685197227908,-0.181248433191276,0,2.48,"small","unknown",0.017295893307179,2.25038939502576,0.0253958810137887,2.25057729501662,0.0252626096764635,7450,4031.30606273309,0.157544728087307,0.019152825277995,5.32453387688821,0.247070061355317,4.86,2.1760289613919,0.0259850732997809,0.019980728446303
21,50,0.0213333333333333,4.20571428571429,0.06,0.576774338216792,-0.0155457552370451,0,2.44,"small","unknown",0.0214878357344956,2.23732343545407,0.0317692163420449,2.23757021735367,0.031589447794813,7330,4377.3069719327,0.173972319097186,0.0193021841830637,5.49302359722698,0.283136563720316,5.56,2.70419175748032,0.028193415567804,0.0233782703317977
22,50,0.01,4.2065306122449,0.06,0.575340569036683,-0.16617168717296,0,2.48,"small","unknown",0.0157767088852493,2.25000157054896,0.0277037589583374,2.25018833854299,0.0275709207573124,7450,3985.4838643072,0.164294749124007,0.027886870720309,5.25003721800422,0.262314826536736,4.5,1.80983706561713,0.0240987721940076,0.0222956700226249
