"","clus_small","clus_high","diff_clus"
"pathlength",1.67785234899329,1.68284414615958,0.00499179716629383
"neighbors",48,48,0
"clustering",0.31891982770404,0.582691981293174,0.263772153589134
"assortativity",-0.0145173943906657,-0.00657164223311307,0.00794575215755265
"size",150,150,0
"exponent",NA,NA,NA
