"rep_id","size_net","neighbors","init","time","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
165,150,"4",5,0,0,2.11370761808796,0,2.17495501312955,0,15,0,0.4,0,5,0,4,0,0,0.105409255338946
202,150,"4",5,1,0.0146787433874459,2.07339203774622,0.0525584374434483,2.13944687507806,0.0414537428404616,18.9733333333333,4.45099591701047,0.403189157458531,0.046153281735528,4.98448363180058,0.231984890990727,4,0,0.0247493045407832,0.106574097780812
223,150,"4",5,2,0.0225152768113803,2.06670090673236,0.0692166979357741,2.12878156501101,0.0563855164841381,22.9466666666667,8.90199183402093,0.389433431120576,0.0587713589544272,5.0161666793552,0.29788691465155,4,0,0.0306643527013382,0.101791341667993
243,150,"4",5,3,0.0265329125739866,2.05535005789501,0.0800846577078127,2.11564278158686,0.0649993797936291,26.92,13.3529877510314,0.38622249644256,0.0642117193110219,5.01859182534323,0.290489535472718,4,0,0.0333126898258059,0.100690897013162
262,150,"4",5,4,0.0304445949655239,2.03021096327323,0.0920039833426869,2.09189942307605,0.0759799338396285,30.8933333333333,17.8039836680419,0.394222818987696,0.0693614936466786,5.0111625839962,0.322917338303232,4,0,0.0357609099106568,0.103534341857055
279,150,"4",5,5,0.0319125280828645,2.00999629749484,0.102526292477609,2.07203450205412,0.0855638991613317,34.8666666666667,22.2549795850523,0.402066112645035,0.0748581623236559,4.98321192940189,0.319176186140403,4,0,0.0365835288648618,0.106293131315925
296,150,"4",5,6,0.033790043160343,1.99831438806743,0.100076166580492,2.05925019337377,0.0849193685625233,38.84,26.7059755020628,0.403240850232035,0.0729759258255227,5.01275889944659,0.34317091325002,4,0,0.0375558472107088,0.106734659303144
308,150,"4",5,7,0.0327480241183302,1.99132774670665,0.102565574565028,2.05026252406575,0.0876935487641608,42.8133333333333,31.1569714190733,0.404986624079104,0.0712969436477701,4.99961423308487,0.346325340695327,4,0,0.0366075825415056,0.107366500585358
325,150,"4",5,8,0.0335555880602114,1.97536717395031,0.0976076633299917,2.03433035331194,0.0843223578343722,46.7866666666667,35.6079673360837,0.410819366683079,0.0693831371181343,5.01366969676093,0.371420661882213,4,0,0.0369872409041231,0.109502464978226
342,150,"4",5,9,0.0339161974238732,1.97111213742718,0.09198413360605,2.02802747513432,0.0802393569396906,50.76,40.0589632530942,0.410018826400198,0.063904136594037,5.02694568963405,0.378129354901113,4,0,0.0369850981915333,0.109168961975347
358,150,"4",5,10,0.0357591620568253,1.96876859397278,0.0928951359372651,2.0237064325846,0.0811470649063207,54.7333333333333,44.5099591701047,0.406715461279854,0.0663858449439299,5.03930354231835,0.390933031002718,4,0,0.0379084530366635,0.108034947119311
373,150,"4",5,11,0.0348397018685731,1.96642514626055,0.0926478885514281,2.01925057731116,0.081606311465767,58.7066666666667,48.9609550871151,0.406827499384506,0.0650516242409622,5.0468072016645,0.363671484959174,4,0,0.0373731936924275,0.108051843772411
392,150,"4",5,12,0.0339759148774704,1.96994849683951,0.0911991274204409,2.02019547941445,0.0804507439398564,62.68,53.4119510041256,0.403195751742078,0.0615299875189641,5.07823719414145,0.363285538481068,4,0,0.0366951107583132,0.106776664228272
408,150,"4",5,13,0.0339500207245216,1.96049493113221,0.0914092688438607,2.01015463174204,0.0806790939881371,66.6533333333333,57.8629469211361,0.407235805195128,0.0615055498460536,5.05901504706275,0.352833053578832,4,0,0.0366168549995892,0.108201098022789
424,150,"4",5,14,0.0338728382958106,1.96022396246559,0.0929621348364703,2.00797245862848,0.082323354325673,70.6266666666667,62.3139428381465,0.405114438640257,0.0609790031324294,5.04833323160036,0.342558557600175,4,0,0.0367379323900796,0.107549643227259
441,150,"4",5,15,0.0332098239604421,1.95760617975392,0.0906369312597468,2.00383050639583,0.0810650379512941,74.6,66.764938755157,0.40561118846499,0.0604391478441678,5.05049437285695,0.365985566948151,4,0,0.0362669491462455,0.107766442234344
458,150,"4",5,16,0.0333176447910085,1.95360125264275,0.0880027463458675,1.99865373908752,0.0792935648511608,78.5733333333333,71.2159346721675,0.406295691670952,0.0581954715178596,5.04447482958154,0.36041864039473,4,0,0.0363550462766828,0.10801733105287
473,150,"4",5,17,0.0332730880244718,1.94797854649996,0.0886014574757072,1.99218704467951,0.0800192928404615,82.5466666666667,75.6669305891779,0.408515217738149,0.0581215041528209,5.05573876568035,0.353910398063718,4,0,0.0362104455071634,0.108772152051614
490,150,"4",5,18,0.0336689772737307,1.94233930001277,0.0937484516422207,1.98578047716527,0.084476998147481,86.52,80.1179265061884,0.410602460109028,0.0612723467253803,5.05312738239401,0.353081729410147,4,0,0.0365477840545917,0.109475862271184
507,150,"4",5,19,0.0343786322592946,1.93977197130057,0.0934029546822531,1.98224133445464,0.0842424553539241,90.4933333333333,84.5689224231989,0.410379827487007,0.0619493443489189,5.05087037607973,0.357074631004885,4,0,0.0369452697894611,0.109359105619304
522,150,"4",5,20,0.0328868889589165,1.9377884799636,0.0924966217376688,1.97915277493251,0.0836154441373297,94.4666666666667,89.0199183402093,0.412069339553092,0.0612774999595633,5.06453983086258,0.352699916493613,4,0,0.0361202788621207,0.109968328062547
538,150,"4",5,21,0.0327881710146393,1.93366670324012,0.0938138181198661,1.97417620693479,0.0851967792505588,98.44,93.4709142572198,0.413536385757847,0.0620907784921762,5.06309229474505,0.352910765022334,4,0,0.0360668201006352,0.110502558103397
555,150,"4",5,22,0.0333600624418296,1.93317152297646,0.0960308564451314,1.9726269967244,0.0872878162137627,102.413333333333,97.9219101742303,0.41211886400434,0.0636124771483726,5.05587578880549,0.359371618645681,4,0,0.0364710438487032,0.110024947127665
571,150,"4",5,23,0.0329624255818773,1.93201729650779,0.0964668688296945,1.97053085033049,0.0877294930975573,106.386666666667,102.372906091241,0.412170863021531,0.063070949054076,5.06971295510175,0.3465913677155,4,0,0.0362690064263264,0.110055939393414
587,150,"4",5,24,0.0342081398942648,1.93349429599506,0.097383317325204,1.97091200904505,0.0889030848225899,110.36,106.823902008251,0.408928149855195,0.0640234049009142,5.08880035269709,0.350726927757282,4,0,0.0369389892906086,0.108927710501431
605,150,"4",5,25,0.0343795241354784,1.93322997114189,0.0970789570682878,1.96968223223983,0.0887583945050617,114.333333333333,111.274897925262,0.408307215858208,0.0638586503949401,5.07162207409259,0.339207821384514,4,0,0.037090601276482,0.108686233839542
621,150,"4",5,26,0.0345924214091984,1.93058037645117,0.0986235851543591,1.96635878201436,0.0904083951811267,118.306666666667,115.725893842272,0.408755100445718,0.0639598165128317,5.07359092421916,0.32150718995505,4,0,0.0371771330682846,0.108848977013297
637,150,"4",5,27,0.0347539508651249,1.93104602244031,0.101841337887516,1.96581603149218,0.0937709559132806,122.28,120.176889759283,0.407521122143348,0.0652650089019099,5.08213979627035,0.320835620390497,4,0,0.0372369060905821,0.108435745371763
651,150,"4",5,28,0.034182155877094,1.93226433950254,0.100053985622606,1.96609055977524,0.0923182408852724,126.253333333333,124.627885676293,0.406782709443519,0.0627556618756689,5.07908006706917,0.318198358250329,4,0,0.0368905301716975,0.108150506476384
667,150,"4",5,29,0.0333252426483745,1.9338724859138,0.100780356247735,1.9667069244792,0.0930027946309964,130.226666666667,129.078881593304,0.406376054412752,0.0621815086875009,5.07384837102737,0.309440263048131,4,0,0.0363937536960767,0.107990192890212
685,150,"4",5,30,0.0337764178866089,1.92682124935748,0.101046776289923,1.95956892472554,0.0931450701453345,134.2,133.529877510314,0.409160905512752,0.0633145772268783,5.08101591901653,0.321012769612247,4,0,0.036666085285082,0.109019265377417
