"rep_id","size_net","time","init","neighbors","mean_mean","mean_sd","sd_mean","sd_sd"
1,150,0,0.5,1.98666666666667,0.5,0.5,0,0
1,150,1,0.5,1.98666666666667,0.493059448140552,0.0661038649612401,0.184282405353774,0.0238469400337814
1,150,2,0.5,1.98666666666667,0.51020410235361,0.0357309705882283,0.122907385273209,0.0133878274763569
1,150,3,0.5,1.98666666666667,0.512245985408761,0.0244863442317964,0.116067857379785,0.0092962685041517
1,150,4,0.5,1.98666666666667,0.512717506349416,0.0186256634472992,0.112556583854798,0.0071187301544201
1,150,5,0.5,1.98666666666667,0.512593246335422,0.0150288122945654,0.109788839368376,0.00576732317468733
1,150,6,0.5,1.98666666666667,0.512444546215493,0.0125963690324768,0.107594266594522,0.0048470108579489
1,150,7,0.5,1.98666666666667,0.512263978382131,0.0108416564914376,0.106018867699337,0.00417993539851569
1,150,8,0.5,1.98666666666667,0.512250980627576,0.00951605579808119,0.104865719073067,0.00367423251454572
1,150,9,0.5,1.98666666666667,0.512236873061622,0.00847930563951639,0.103755900167624,0.00327767163148062
1,150,10,0.5,1.98666666666667,0.512259773180724,0.0076462684659121,0.102797386074057,0.00295836495672793
1,150,11,0.5,1.98666666666667,0.512248835473921,0.00696227264741104,0.101918518555461,0.00269574328802196
1,150,12,0.5,1.98666666666667,0.512205466901742,0.00639060378309105,0.10113210203928,0.00247594379100473
1,150,13,0.5,1.98666666666667,0.512179684113427,0.00590569138161768,0.100468357989777,0.00228928299524523
1,150,14,0.5,1.98666666666667,0.512126773569407,0.0054891788993583,0.0998284108391169,0.00212879227838734
1,150,15,0.5,1.98666666666667,0.512091078406506,0.00512754732738715,0.099231235068298,0.00198932881439488
1,150,16,0.5,1.98666666666667,0.512046757106694,0.00481062012281997,0.0986895411082174,0.00186701440395409
1,150,17,0.5,1.98666666666667,0.512036617964073,0.00453059033807521,0.0981935442706637,0.00175886928531619
1,150,18,0.5,1.98666666666667,0.512012864679917,0.00428136886041703,0.0977282172739989,0.00166256621704441
1,150,19,0.5,1.98666666666667,0.511990055065605,0.00405813655692851,0.0972787519434966,0.00157626113988596
1,150,20,0.5,1.98666666666667,0.511975794273245,0.00385702958832956,0.0968655073689753,0.00149847396987846
1,150,21,0.5,1.98666666666667,0.511953977938278,0.00367491387568537,0.0964799701165232,0.00142800302281132
1,150,22,0.5,1.98666666666667,0.511938572809674,0.00350922058126073,0.0961028798745715,0.00136386249777404
1,150,23,0.5,1.98666666666667,0.511912213765537,0.00335782417690142,0.0957550506112186,0.00130523608245246
1,150,24,0.5,1.98666666666667,0.511901967748338,0.00321895077023835,0.0954199123592684,0.00125144202975575
1,150,25,0.5,1.98666666666667,0.511894054314922,0.00309110827657019,0.0951043396436168,0.00120190652773024
1,150,26,0.5,1.98666666666667,0.511883491411968,0.00297303259499601,0.0948119113148401,0.00115614315262292
1,150,27,0.5,1.98666666666667,0.511872456053885,0.00286364566680134,0.0945259806685601,0.00111373684339727
1,150,28,0.5,1.98666666666667,0.511858310136134,0.00276202246435636,0.0942480861573594,0.00107433127798943
1,150,29,0.5,1.98666666666667,0.511842168121658,0.00266736476807775,0.0939838615835553,0.00103761883766383
1,150,30,0.5,1.98666666666667,0.511833487047837,0.0025789801569459,0.0937328911186899,0.00100333256088673
1,150,31,0.5,1.98666666666667,0.511827666796616,0.00249626504206743,0.0934862945325477,0.000971239641292869
1,150,32,0.5,1.98666666666667,0.511817602161739,0.00241869086377661,0.0932572877727954,0.000941136134757284
1,150,33,0.5,1.98666666666667,0.511812983994806,0.00234579278483538,0.0930344212513349,0.000912842621144064
1,150,34,0.5,1.98666666666667,0.511811560206172,0.00227716036851587,0.0928164591454149,0.000886200625704282
1,150,35,0.5,1.98666666666667,0.51180733016966,0.00221242984660532,0.0926073536010209,0.000861069649337126
1,150,36,0.5,1.98666666666667,0.511793088483476,0.00215127766970903,0.0924026746388126,0.000837324690190553
1,150,37,0.5,1.98666666666667,0.511786480902983,0.0020934150984204,0.092200837060311,0.000814854164307182
1,150,38,0.5,1.98666666666667,0.511780918010909,0.0020385836445173,0.0920065117733893,0.000793558152316606
1,150,39,0.5,1.98666666666667,0.511773558118931,0.00198655121031169,0.0918229513884478,0.000773346914048195
1,150,40,0.5,1.98666666666667,0.511765990957807,0.00193710880451962,0.0916396076374286,0.000754139624486962
1,150,41,0.5,1.98666666666667,0.511759275024326,0.00189006773664826,0.0914641937424861,0.000735863293524942
1,150,42,0.5,1.98666666666667,0.511753156365886,0.00184525721048554,0.091293642903021,0.000718451839067522
1,150,43,0.5,1.98666666666667,0.511750040193277,0.00180252225199086,0.0911289590783188,0.000701845288682831
1,150,44,0.5,1.98666666666667,0.511743006489958,0.00176172191860239,0.0909697929902337,0.000685989089466494
1,150,45,0.5,1.98666666666667,0.511738422574165,0.001722727746358,0.0908109618943949,0.000670833509386744
1,150,46,0.5,1.98666666666667,0.511735754564721,0.00168542239878109,0.0906583617689492,0.00065633311626861
1,150,47,0.5,1.98666666666667,0.51173300190228,0.00164969848759513,0.0905095642341842,0.000642446322918676
1,150,48,0.5,1.98666666666667,0.511725013545541,0.00161545754030154,0.0903659484159652,0.000629134988797801
1,150,49,0.5,1.98666666666667,0.511719872254297,0.00158260909371667,0.0902210372308553,0.000616364070206905
1,150,50,0.5,1.98666666666667,0.511718573311488,0.00155106989589661,0.0900851656271365,0.000604101312229739
1,150,51,0.5,1.98666666666667,0.511712981560109,0.00152076320162494,0.0899489996121318,0.000592316976730862
