"","rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","rewire","neighbors","clus_type","mean_mean","mean_sd","sd_mean","sd_sd"
"1",1,150,0.579173069674555,1.68134228187919,0.533933124825608,0.00255787146414308,"0.1",0.1,"48","big",0.506072569303822,6.95759869588862e-07,0.00120937108799389,3.02897824719803e-08
"2",2,150,0.570937658910876,1.6807158836689,0.552634820135587,0.0326073351208741,"0.1",0.1,"48","big",0.498495918247344,6.95788460159751e-07,0.000212827358004566,3.09476372002149e-08
"3",3,150,0.591959776908936,1.6841163310962,0.574561401100521,0.0161837344349253,"0.1",0.1,"48","big",0.500336351793512,6.95787703572665e-07,0.000377406677462109,3.07448579901638e-08
"4",4,150,0.586659076572152,1.68706935123043,0.549561741476037,0.000216798389902791,"0.1",0.1,"48","big",0.50158554229769,6.95725748900856e-07,0.00132673915129469,3.02487122669408e-08
"5",5,150,0.596540168123142,1.68331096196868,0.55929912651626,0.0245118047459596,"0.1",0.1,"48","big",0.516684978325635,6.95715486544091e-07,0.000751739606025511,2.99841983168224e-08
"6",6,150,0.589247044112665,1.68402684563758,0.564011518669835,-0.0183221839380288,"0.1",0.1,"48","big",0.502596428061021,6.95702540767531e-07,0.000690717664104606,2.98313667177934e-08
"7",7,150,0.578179948657802,1.68286353467562,0.512605233842824,-0.00271021210652418,"0.1",0.1,"48","big",0.508711501664668,6.95815702570643e-07,0.000988340548247372,3.11968787245663e-08
"8",8,150,0.583736865260082,1.68474272930649,0.560082415093124,0.00606397944224041,"0.1",0.1,"48","big",0.508658337064605,6.96020950430944e-07,0.000518343602499479,3.34202788135774e-08
"9",9,150,0.580993402070913,1.68152125279642,0.558269128502824,-0.0202685438702956,"0.1",0.1,"48","big",0.511066769129846,6.95474648989168e-07,0.000431478183418148,2.70168184070285e-08
"10",10,150,0.569504115118121,1.68008948545861,0.567991427643718,-0.00707638893666503,"0.1",0.1,"48","big",0.493867071623645,6.96035890687036e-07,0.000726739101355607,3.34411611093218e-08
"11",11,150,0.57479571932888,1.68107382550336,0.56230899464166,0.00188238492498707,"0.1",0.1,"48","big",0.488323168456855,6.95807850312203e-07,0.000979804243211107,3.08619725933268e-08
"12",12,150,0.58167591768112,1.68170022371365,0.523804146186437,0.0297167844885399,"0.1",0.1,"48","big",0.505023283101313,6.95744612515238e-07,0.000837146522104633,3.00844152054095e-08
"13",13,150,0.574972491283161,1.68161073825503,0.5728782980884,0.0203463049957405,"0.1",0.1,"48","big",0.492768327910893,6.9586062956352e-07,0.00066368167657851,3.1601664587193e-08
"14",14,150,0.582443361286792,1.682774049217,0.595499911055804,-0.0121591840851452,"0.1",0.1,"48","big",0.497195670363961,6.95629415772635e-07,0.000371174306401383,2.88447991869756e-08
