"","path_small","path_high","neigh_small","neigh_high","diff_path","diff_neigh"
"pathlength",4.46114285714286,4.59880408163265,1.78535102040816,1.77751020408163,0.137661224489796,-0.00784081632653066
"neighbors",2.4594,2.4562,12.0072,12.642,-0.00320000000000009,0.6348
"clustering",0.0323188095238095,0.0347433333333333,0.244033029262171,0.252643977089713,0.00242452380952381,0.00861094782754226
"assortativity",-0.0946811061894011,-0.0926282855315069,0.011698055389039,0.026348491076245,0.00205282065789424,0.014650435687206
"size",50,50,50,50,0,0
"exponent",NA,NA,NA,NA,NA,NA
