"","clus_small","clus_high","diff_clus"
"pathlength",1.67785234899329,1.68272617449664,0.00487382550335558
"neighbors",48,48,0
"clustering",0.319131597576346,0.582088113000555,0.262956515424209
"assortativity",-0.0151775399723455,-0.00419725467040934,0.0109802853019362
"size",150,150,0
"exponent",NA,NA,NA
