"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","rewire","neighbors","mean_mean","mean_sd","sd_mean","sd_sd"
1,50,0.408,4.35673469387755,0.417131125879594,0.0379746835443036,0.1,0.1,4,0.489307749266848,8.44372105062536e-06,0.0196251138241468,1.02850206571998e-06
2,50,0.404666666666667,4.13224489795918,0.489024003831087,-0.147959183673469,0.1,0.1,4,0.500762558546931,8.51037031294796e-06,0.00833116221607219,1.29630975696474e-06
3,50,0.306857142857143,3.33224489795918,0.47610109373114,0.0537634408602151,0.1,0.1,4,0.517684082620674,8.62780177911059e-06,0.00488416991552957,1.6032161658721e-06
4,50,0.369333333333333,3.71836734693878,0.443469682646111,-0.0473946059177797,0.1,0.1,4,0.50290332013358,8.52147914042357e-06,0.00875036868042491,1.31161948899671e-06
5,50,0.400666666666667,4.22367346938776,0.553009427459427,-0.015228426395939,0.1,0.1,4,0.490414058544062,8.46593747139956e-06,0.00695974408164957,1.12532570656353e-06
6,50,0.358,3.59755102040816,0.484411459200666,-0.0343618513323984,0.1,0.1,4,0.48348128562313,8.65477272897761e-06,0.0107060120548931,1.85442160254108e-06
7,50,0.388666666666667,4.05142857142857,0.470350182479858,0.0185387131952019,0.1,0.1,4,0.494345889484505,8.48815389217376e-06,0.00733386682264852,1.21403958260153e-06
8,50,0.418,4.24979591836735,0.492533610729849,0.0693739424703896,0.1,0.1,4,0.481014820444512,8.46593747139956e-06,0.00854352667239093,1.12532570656353e-06
9,50,0.396,3.68408163265306,0.483199073143975,-0.0862881738061075,0.1,0.1,4,0.501353163283511,8.55480438867339e-06,0.00705873372539139,1.40161791722655e-06
10,50,0.286,3.48897959183673,0.429146014901532,-0.0779961953075459,0.1,0.1,4,0.482559215977006,8.65477149480058e-06,0.00720931659463096,1.88806722191172e-06
11,50,0.384,3.73632653061224,0.452143205749782,-0.051647581210563,0.1,0.1,4,0.503149090296453,8.5992310599536e-06,0.0171722557648773,1.73205098543593e-06
12,50,0.407333333333333,4.77469387755102,0.499949099376353,-0.0732323232323233,0.1,0.1,4,0.498216758315015,8.42150462985116e-06,0.00904549704404141,9.21014531989564e-07
13,50,0.355333333333333,3.59265306122449,0.43787324019093,-0.089588377723971,0.1,0.1,4,0.506572491787703,8.58812840274617e-06,0.00722935559797355,1.52721039830056e-06
14,50,0.379333333333333,3.81224489795918,0.508514398133135,0.016715830875123,0.1,0.1,4,0.508942438713689,8.47704629887518e-06,0.0134131297695137,1.14336869998951e-06
15,50,0.423333333333333,4.21795918367347,0.524728905246289,-0.136363636363637,0.1,0.1,4,0.504883103054415,8.42150462985116e-06,0.0153698342171711,9.21014531989564e-07
16,50,0.432666666666667,4.39428571428571,0.538756166942123,-0.0575296108291032,0.1,0.1,4,0.513395571703594,8.46593747139956e-06,0.0146565481196737,1.12532570656353e-06
17,50,0.372,4.28326530612245,0.532225670152934,-0.116071428571428,0.1,0.1,4,0.487396759180362,8.51037031294796e-06,0.00514620465034491,1.29630975696474e-06
18,50,0.448,4.63673469387755,0.501936597397063,-0.00755667506297212,0.1,0.1,4,0.493210721628408,8.39928820907696e-06,0.00649692606396533,7.98568564801903e-07
19,50,0.428,4.12081632653061,0.575406211228106,-0.01010101010101,0.1,0.1,4,0.502621759811187,8.42150462985116e-06,0.0122711973467805,9.21014531989564e-07
20,50,0.430666666666667,4.42367346938776,0.519962794142344,0.0764063811922755,0.1,0.1,4,0.494226973100173,8.39928820907696e-06,0.0124045122654214,7.98568564801903e-07
21,50,0.392,4.26612244897959,0.453323323327057,0.010477299185099,0.1,0.1,4,0.508795636106783,8.49926271964937e-06,0.00540843941460061,1.23057810650596e-06
22,50,0.381333333333333,3.98775510204082,0.506951973156769,0.0270727580372252,0.1,0.1,4,0.50937753069768,8.46593747139956e-06,0.00410067290614116,1.12532570656353e-06
23,50,0.391333333333333,4.14530612244898,0.453470379623676,-0.0126582278481013,0.1,0.1,4,0.489404800905406,8.44372105062536e-06,0.00841351565119573,1.02850206571998e-06
24,50,0.327142857142857,3.54122448979592,0.497284033524008,-0.151560178306093,0.1,0.1,4,0.507798438988105,8.71666252611623e-06,0.00334680409244623,1.96687256545316e-06
25,50,0.393333333333333,3.75510204081633,0.501239959702003,-0.0620075368276811,0.1,0.1,4,0.510915512740948,8.59922488968541e-06,0.0121353038135829,1.90511569024847e-06
26,50,0.310666666666667,3.65959183673469,0.442630838603343,0.0112994350282486,0.1,0.1,4,0.510021444139437,8.58812840274617e-06,0.00646611893058562,1.52721039830056e-06
27,50,0.354666666666667,3.71918367346939,0.455024067708573,-0.166666666666667,0.1,0.1,4,0.502429202448853,8.54369556119777e-06,0.0102347620569827,1.38757400063143e-06
28,50,0.458666666666667,4.76734693877551,0.432505831376612,-0.0632911392405064,0.1,0.1,4,0.488770815461359,8.44372105062536e-06,0.00810639213801048,1.02850206571998e-06
29,50,0.313333333333333,3.76,0.493790734708644,-0.181271477663231,0.1,0.1,4,0.499253241762308,8.6214474807278e-06,0.00986300013083179,1.78927116331469e-06
30,50,0.38,3.82285714285714,0.394820644585979,0.0548891312250093,0.1,0.1,4,0.49725510461071,8.48815389217376e-06,0.00736881415688621,1.21403958260153e-06
31,50,0.431333333333333,4.18040816326531,0.486703176739256,0.0270727580372254,0.1,0.1,4,0.491810046061232,8.46593747139956e-06,0.00705974754184668,1.12532570656353e-06
32,50,0.338666666666667,3.62367346938776,0.535419972242105,-0.0300124311845141,0.1,0.1,4,0.482576846291437,8.59923723022178e-06,0.0124964287844166,1.53965432451266e-06
33,50,0.38,4.03183673469388,0.541318713550739,0.0549828178694161,0.1,0.1,4,0.500981626628016,8.6214474807278e-06,0.0104139351967311,1.78927116331469e-06
34,50,0.390666666666667,3.78122448979592,0.463568868622025,-0.0152284263959391,0.1,0.1,4,0.5151483127971,8.46593747139956e-06,0.0218605492104304,1.12532570656353e-06
35,50,0.37,3.6930612244898,0.484426498057769,-0.119047619047619,0.1,0.1,4,0.490495944599883,8.54369556119777e-06,0.0163373229657987,1.38757400063143e-06
36,50,0.339333333333333,3.66612244897959,0.456334910938448,0.00539926115373688,0.1,0.1,4,0.481953955132625,8.53258673372216e-06,0.00604087412965091,1.37329478972609e-06
37,50,0.356,3.62040816326531,0.571275018329627,-0.179487179487179,0.1,0.1,4,0.501924855137498,8.55480315449636e-06,0.00536933128870929,1.44583916414786e-06
38,50,0.406666666666667,4.20489795918367,0.526846499958777,-0.230688661953391,0.1,0.1,4,0.484366821875341,8.52147914042357e-06,0.0143346931308882,1.31161948899671e-06
39,50,0.424,3.96326530612245,0.516068084874666,-0.0186263096623981,0.1,0.1,4,0.509863407872256,8.49926271964937e-06,0.0129889477703408,1.23057810650596e-06
40,50,0.304,3.55591836734694,0.506100691909772,-0.0806735360643375,0.1,0.1,4,0.518598728316497,8.61033865325218e-06,0.00344563569390563,1.77871610659043e-06
41,50,0.350857142857143,3.57795918367347,0.567124371158209,0.136418836864121,0.1,0.1,4,0.49446069718101,8.70555369864062e-06,0.00962487357888457,1.95782685860704e-06
42,50,0.386666666666667,3.79020408163265,0.516160102776227,-1.07387643750945e-16,0.1,0.1,4,0.488151557735913,8.54369556119777e-06,0.00505306813187849,1.38757400063143e-06
43,50,0.404,3.84489795918367,0.524279709966548,0.0369680024852438,0.1,0.1,4,0.509311559961614,8.56590581170379e-06,0.00542579847253896,1.6609741128818e-06
44,50,0.406666666666667,4.25632653061225,0.488466765364097,0.109714584969887,0.1,0.1,4,0.489054084409172,8.52147914042357e-06,0.0101545534022454,1.31161948899671e-06
45,50,0.399333333333333,4.44816326530612,0.550780603704692,0.0379746835443037,0.1,0.1,4,0.505723327767667,8.44372105062536e-06,0.00910799805871053,1.02850206571998e-06
46,50,0.388666666666667,3.85877551020408,0.541933999468585,0.0449861774315157,0.1,0.1,4,0.483364199966355,8.61033865325218e-06,0.0077449045973316,1.77871610659043e-06
47,50,0.451333333333333,4.39755102040816,0.477988888927431,-0.00755667506297229,0.1,0.1,4,0.483965757542159,8.39928820907696e-06,0.0182252922374772,7.98568564801903e-07
48,50,0.333333333333333,3.65469387755102,0.490116035792204,0.0808478709435373,0.1,0.1,4,0.474402476137224,8.63255630820341e-06,0.00628353292750393,1.79969435038772e-06
49,50,0.454,4.52163265306122,0.48980497648646,0.116161616161616,0.1,0.1,4,0.507448515676267,8.42150462985116e-06,0.0078901361558833,9.21014531989564e-07
50,50,0.358,3.88163265306122,0.513808576032025,0.0912395492548169,0.1,0.1,4,0.490051629424086,8.48815389217376e-06,0.0152305032342284,1.21403958260153e-06
51,50,0.398666666666667,3.7665306122449,0.553768559128506,-0.00527770796682579,0.1,0.1,4,0.505352261850407,8.61033865325218e-06,0.0136703834858758,1.77871610659043e-06
52,50,0.386666666666667,3.98122448979592,0.440865928267917,0.0549828178694161,0.1,0.1,4,0.51350418579485,8.6214474807278e-06,0.00711426526268166,1.78927116331469e-06
53,50,0.408,4.34530612244898,0.508484424784746,-0.0126582278481013,0.1,0.1,4,0.489876476082109,8.44372105062536e-06,0.00900083426197393,1.02850206571998e-06
54,50,0.351333333333333,3.59428571428571,0.513028854650427,0.0106544901065451,0.1,0.1,4,0.493027721071889,8.57702080944759e-06,0.0158579002802993,1.47242580615678e-06
55,50,0.388666666666667,3.75428571428571,0.495518329430742,0.0449861774315158,0.1,0.1,4,0.486049812045347,8.61033865325218e-06,0.0164554990204176,1.77871610659043e-06
56,50,0.338,3.69632653061224,0.481267307731468,-0.0514350667803356,0.1,0.1,4,0.502054393295012,8.53258673372216e-06,0.00671628896944488,1.37329478972609e-06
57,50,0.380666666666667,3.94204081632653,0.533547878822492,-0.142131979695432,0.1,0.1,4,0.493356133247799,8.46593747139956e-06,0.0138090325428776,1.12532570656353e-06
58,50,0.422,4.12326530612245,0.556749916552779,-0.015228426395939,0.1,0.1,4,0.496035329544957,8.46593747139956e-06,0.00821310619271495,1.12532570656353e-06
59,50,0.402666666666667,3.62612244897959,0.460349835631681,0.0277777777777777,0.1,0.1,4,0.497735849545531,8.58812223247798e-06,0.0119713847668447,1.72099873269848e-06
60,50,0.372666666666667,3.80489795918367,0.475198080041645,0.0952380952380949,0.1,0.1,4,0.509180826168738,8.54369556119777e-06,0.0101301680762397,1.38757400063143e-06
61,50,0.352,3.78775510204082,0.478927520619337,0.0277777777777778,0.1,0.1,4,0.477783070875838,8.58812223247798e-06,0.0136676907901276,1.72099873269848e-06
62,50,0.342,3.63591836734694,0.493996181723032,-0.0750175274596867,0.1,0.1,4,0.49838403942471,8.5992310599536e-06,0.0120248297897951,1.73205098543593e-06
63,50,0.406666666666667,4.04489795918367,0.458731835000954,-0.054162122864413,0.1,0.1,4,0.49167877914475,8.48815389217376e-06,0.0119516137320162,1.21403958260153e-06
64,50,0.395333333333333,4.23755102040816,0.482382735397328,0.0530303030303032,0.1,0.1,4,0.476771679240396,8.42150462985116e-06,0.0112298172475888,9.21014531989564e-07
65,50,0.414666666666667,4.37795918367347,0.505250203684535,0.0832157968970384,0.1,0.1,4,0.498204996416431,8.54368939092959e-06,0.0123187104931628,1.59838233379418e-06
66,50,0.392,3.72081632653061,0.481262936632589,-0.145127366207058,0.1,0.1,4,0.487099304959769,8.5992310599536e-06,0.00853339514204788,1.73205098543593e-06
67,50,0.349333333333333,3.88,0.475699170877125,0.0390915046953483,0.1,0.1,4,0.483545606447253,8.56591198197197e-06,0.0142970422698079,1.45923618586875e-06
68,50,0.323333333333333,3.51020408163265,0.464756294779923,-0.179487179487179,0.1,0.1,4,0.521583978827353,8.55480315449636e-06,0.0056234249238226,1.44583916414786e-06
69,50,0.386666666666667,3.60816326530612,0.498978309147543,0.00550523885633107,0.1,0.1,4,0.511741828686426,8.59923723022178e-06,0.00751784668489932,1.53965432451266e-06
70,50,0.372,3.8334693877551,0.565293150226119,-0.102564102564103,0.1,0.1,4,0.494220847001237,8.55480315449636e-06,0.00311105821228639,1.44583916414786e-06
71,50,0.371333333333333,3.86204081632653,0.492382645782703,-0.136686558681444,0.1,0.1,4,0.486850693099359,8.53258673372216e-06,0.00732109196219375,1.37329478972609e-06
72,50,0.392,4.60734693877551,0.503296587214812,0.111675126903554,0.1,0.1,4,0.514244583590592,8.46593747139956e-06,0.0121725145866268,1.12532570656353e-06
73,50,0.340666666666667,3.68081632653061,0.546316133319334,0.043367346938776,0.1,0.1,4,0.493622991620124,8.51037031294796e-06,0.0103008288257326,1.29630975696474e-06
74,50,0.355333333333333,3.8465306122449,0.479057045385919,0.0314769975786926,0.1,0.1,4,0.503808456073435,8.58812840274617e-06,0.00649385471402111,1.52721039830056e-06
75,50,0.273333333333333,3.49551020408163,0.525810501302925,0.01787151827403,0.1,0.1,4,0.495581131275305,8.76584866258042e-06,0.00663804380826223,2.24791817358475e-06
76,50,0.400666666666667,3.85469387755102,0.473385706653016,-0.205128205128205,0.1,0.1,4,0.491960336613858,8.5770146391794e-06,0.0113325710403381,1.67257366116945e-06
77,50,0.388666666666667,3.75673469387755,0.442883921377447,0.0699640667934893,0.1,0.1,4,0.475951626472084,8.65477149480058e-06,0.015026598248318,1.88806722191172e-06
78,50,0.398,3.80571428571429,0.558822234823705,0.0303030303030301,0.1,0.1,4,0.496018017854221,8.62144131045961e-06,0.0119730528713493,1.95728300271283e-06
79,50,0.327333333333333,3.76489795918367,0.490851276294366,-0.108269394714408,0.1,0.1,4,0.479379554254613,8.53258673372216e-06,0.0123256336121287,1.37329478972609e-06
80,50,0.352,3.81714285714286,0.513900857284656,-0.153846153846154,0.1,0.1,4,0.489414224932544,8.55480315449636e-06,0.00898859377825635,1.44583916414786e-06
81,50,0.353333333333333,3.61142857142857,0.503628232611874,0.0184622575368077,0.1,0.1,4,0.51401174608449,8.5992310599536e-06,0.00604213902267846,1.73205098543593e-06
82,50,0.436666666666667,4.80816326530612,0.553379470755278,0.0310077519379847,0.1,0.1,4,0.485132202607555,8.49925654938119e-06,0.00943939229508169,1.46416747486528e-06
83,50,0.388,3.66204081632653,0.460780062588532,-0.0735794710657243,0.1,0.1,4,0.487468828886066,8.52147914042357e-06,0.0143800813812019,1.31161948899671e-06
84,50,0.362,3.62122448979592,0.508678928973395,-0.0997643362136689,0.1,0.1,4,0.49069556121617,8.52147914042357e-06,0.0109943536608934,1.31161948899671e-06
85,50,0.4,3.85877551020408,0.54283532125256,-0.105937136204889,0.1,0.1,4,0.499860445694685,8.49926271964937e-06,0.0119435904145921,1.23057810650596e-06
86,50,0.399333333333333,3.91102040816327,0.48833132309685,0.0822681088167818,0.1,0.1,4,0.492273653984381,8.47704629887518e-06,0.0148459171473437,1.14336869998951e-06
87,50,0.372666666666667,3.74285714285714,0.503831903295295,-0.0998307952622676,0.1,0.1,4,0.504914416027371,8.46593747139956e-06,0.00735391091777752,1.12532570656353e-06
88,50,0.369333333333333,3.51183673469388,0.461306647531427,0.0979381443298973,0.1,0.1,4,0.520965902585636,8.6214474807278e-06,0.00879509512764242,1.78927116331469e-06
89,50,0.328666666666667,3.70857142857143,0.475289124311064,0.0548891312250095,0.1,0.1,4,0.496524887036892,8.48815389217376e-06,0.00600129296001907,1.21403958260153e-06
90,50,0.416,4.24489795918367,0.522143816444736,0.0693739424703897,0.1,0.1,4,0.51101574790725,8.46593747139956e-06,0.0134553835584433,1.12532570656353e-06
91,50,0.354666666666667,3.74530612244898,0.534059071336011,-0.0888888888888889,0.1,0.1,4,0.484233189496645,8.53258796789919e-06,0.0133118179730415,1.32665765469192e-06
92,50,0.461333333333333,5.3730612244898,0.44424423118457,-0.00755667506297177,0.1,0.1,4,0.493340005289041,8.39928820907696e-06,0.0200703391736692,7.98568564801903e-07
93,50,0.342,3.44489795918367,0.560051984722547,-0.0478843347924128,0.1,0.1,4,0.487861518728959,8.8102778022147e-06,0.00550874364968502,2.41197673501435e-06
94,50,0.401333333333333,3.63265306122449,0.498328719923762,-0.0476190476190477,0.1,0.1,4,0.527100136844192,8.54369556119777e-06,0.00710424747571941,1.38757400063143e-06
95,50,0.44,4.23102040816326,0.542372304174412,-0.114341085271319,0.1,0.1,4,0.514248833915307,8.49925654938119e-06,0.0130812656247472,1.46416747486528e-06
96,50,0.410666666666667,4.1534693877551,0.51577739932094,-0.264789881680949,0.1,0.1,4,0.516835410426429,8.52147297015539e-06,0.00902428804011718,1.53290896073945e-06
97,50,0.398666666666667,4.02775510204082,0.434367340066368,-0.109765940274415,0.1,0.1,4,0.491241346924959,8.61033988742922e-06,0.00517650652654044,1.7429609132944e-06
98,50,0.439333333333333,4.73959183673469,0.478370892189705,-0.0109890109890111,0.1,0.1,4,0.483191214000531,8.43261345732678e-06,0.00835396979003134,9.43508954248955e-07
99,50,0.39,4.22285714285714,0.528464753471209,-0.0579937304075236,0.1,0.1,4,0.505662349935274,8.69919940025782e-06,0.0128074766469063,2.11312174592504e-06
100,50,0.344666666666667,3.77795918367347,0.500117086116277,0.0161918425906948,0.1,0.1,4,0.483969161310546,8.55480438867339e-06,0.00811553579047723,1.40161791722655e-06
101,50,0.326,3.57224489795918,0.456291074348027,0.0609303341340906,0.5,0.1,4,0.492243888144877,8.56651571878526e-06,0.0225005087649411,1.45944539100287e-06
102,50,0.404666666666667,3.90857142857143,0.493707486253309,0.0128558310376493,0.5,0.1,4,0.461943515457301,8.65539774383013e-06,0.0621369053871663,2.01737553078978e-06
103,50,0.400666666666667,3.71265306122449,0.566041529485952,-0.0619150467962563,0.5,0.1,4,0.499093353614152,8.5665159656832e-06,0.0286724995098552,1.4156327816448e-06
104,50,0.335333333333333,3.60571428571429,0.507822500164029,-0.0514350667803357,0.5,0.1,4,0.481103949282255,8.53318400268243e-06,0.0280367798302957,1.3734936268432e-06
105,50,0.371333333333333,3.59673469387755,0.51039177744184,0.0198542347323449,0.5,0.1,4,0.498309838414329,8.61095660785873e-06,0.031775056658453,1.7790137998865e-06
106,50,0.332666666666667,3.59673469387755,0.502967929637646,0.0238095238095237,0.5,0.1,4,0.486527767712941,8.54429465701602e-06,0.024958818406137,1.38777297064741e-06
107,50,0.404666666666667,4.22040816326531,0.560902851813549,-0.199563794983643,0.5,0.1,4,0.492938653810231,8.48874187914394e-06,0.0288463608188971,1.21421573377668e-06
