"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","family","rewire","neighbors","mean_mean","mean_sd","sd_mean","sd_sd"
3842,150,0.448025871768596,"1.552393736017897",0.495277310711385,-0.00160668468214563,0.5,7,0.1,66.6933333333333,0.474000629267686,5.0437800073899e-07,1.40045499061368e-05,4.94607036756774e-08
3843,150,0.447480986572071,"1.55248322147651",0.502900254624103,-0.0169602563318909,0.5,7,0.1,66.68,0.518198011906253,5.04233925198837e-07,1.60952732738182e-05,4.81043694898259e-08
3844,150,0.442185705972213,"1.5571364653243849",0.521706451735958,-0.0082824209734666,0.5,7,0.1,65.9866666666667,0.51068802308925,5.09267252980995e-07,1.18169719142587e-05,4.82241026667612e-08
3845,150,0.44873634892986,"1.5516778523489934",0.486147400831915,-0.0331184457190264,0.5,7,0.1,66.8,0.471014289500184,5.0337319864548e-07,1.2692053018276e-05,4.88088425390092e-08
3846,150,0.45278269090731,"1.5479194630872484",0.440611923290899,-0.0197555732476305,0.5,7,0.1,67.36,0.491534336219521,4.99208675870477e-07,1.42757973412069e-05,4.76421292445807e-08
3847,150,0.449376308858356,"1.5506040268456376",0.485254214707873,-0.00838141929077516,0.5,7,0.1,66.96,0.526620212855238,5.0197481408073e-07,1.34473756692723e-05,4.69878224662753e-08
3848,150,0.456083527414922,"1.5454138702460851",0.49100676042241,-0.0248296447897994,0.5,7,0.1,67.7333333333333,0.507998816622954,4.96610664286146e-07,1.50723905122694e-05,4.81779121669286e-08
3849,150,0.44393576754526,"1.5571364653243849",0.468904922802356,-0.0133319595749106,0.5,7,0.1,65.9866666666667,0.468933871150082,5.09726774087867e-07,1.72830159392773e-05,4.95621722860848e-08
3850,150,0.454903430937741,"1.5446085011185682",0.505110129442923,-0.0149203029065181,0.5,7,0.1,67.8533333333333,0.507486761334957,4.95227992236417e-07,1.33621540201459e-05,4.53705033085927e-08
3851,150,0.439808819467426,"1.560089485458613",0.462411889661293,-0.00545943425668343,0.5,7,0.1,65.5466666666667,0.5282698938657,5.12510238259511e-07,1.92225163268455e-05,4.56515714107499e-08
3852,150,0.455788674954875,"1.5426398210290828",0.504374130345667,-0.00222068054399119,0.5,7,0.1,68.1466666666667,0.465398520115213,4.92645980914691e-07,1.09936566793133e-05,4.18823564685138e-08
3853,150,0.443650333102208,"1.556331096196868",0.495959887356539,-0.00668357313891298,0.5,7,0.1,66.1066666666667,0.499243888760568,5.08710785759926e-07,1.68184816072837e-05,4.8224990692843e-08
3854,150,0.458924454759306,"1.5406711409395972",0.496697841433283,-0.010652511638849,0.5,7,0.1,68.44,0.528881545391395,4.90717135207368e-07,1.08257145665148e-05,4.33411170441012e-08
