"","path_small","path_high","ass_small","ass_high","exp_small","exp_high","size_small","size_high","diff_path","diff_ass","diff_exp","diff_size"
"pathlength",3.39299183673469,4.98243265306122,3.99803265306122,4.00880816326531,4.00361224489796,3.98895510204082,4.42881224489796,4.43987474747475,1.58944081632653,0.0107755102040819,-0.0146571428571427,0.0110625025767881
"neighbors",2,2,2,2,2,2,2,2,0,0,0,0
"clustering",0,0,0,0,0,0,0,0,0,0,0,0
"assortativity",-0.310181960916391,-0.306828391484798,-0.458423679635183,-0.17535251131995,-0.266233575188178,-0.261530943836938,-0.298358526618156,-0.290230889672597,0.00335356943159337,0.283071168315232,0.00470263135123988,0.00812763694555901
"exponent",2.78351644497182,2.77050034984331,2.781426220815,2.7856401593293,2.61006926076734,3.06797027009544,2.84541881717931,2.85494828069579,-0.0130160951285094,0.00421393851429164,0.457901009328094,0.00952946351647777
"size",50,50,50,50,50,50,50,100,0,0,0,50
