"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","rewire","neighbors","density","path_type","neigh_type","mean_mean","mean_sd","sd_mean","sd_sd"
170,50,0.0526666666666667,4.43183673469388,0.577836455221063,-0.2173177743954,0.1,0.1,2.44,0.0230200703536744,"small","unknown",0.482541306074439,1.77182051004156e-05,0.0142908013022754,9.45821176368557e-06
170,50,0.0526666666666667,4.43183673469388,0.577836455221063,-0.2173177743954,0.1,0.1,2.44,0.0230200703536744,"big","unknown",0.482541306074439,1.77182051004156e-05,0.0142908013022754,9.45821176368557e-06
190,50,0.00666666666666667,4.41469387755102,0.518404758777794,-0.093920972644377,0.1,0.1,2.44,0.0230200703536744,"small","unknown",0.519460524087211,1.87129304023936e-05,0.00488512252516289,1.02364448650564e-05
190,50,0.00666666666666667,4.41469387755102,0.518404758777794,-0.093920972644377,0.1,0.1,2.44,0.0230200703536744,"big","unknown",0.519460524087211,1.87129304023936e-05,0.00488512252516289,1.02364448650564e-05
376,50,0.058,4.39836734693878,0.654561637288281,-0.0383576445164776,0.1,0.1,2.48,0.0259948448354591,"small","unknown",0.480846773961789,1.77800776198983e-05,0.00664774124102851,9.51344972209163e-06
376,50,0.058,4.39836734693878,0.654561637288281,-0.0383576445164776,0.1,0.1,2.48,0.0259948448354591,"big","unknown",0.480846773961789,1.77800776198983e-05,0.00664774124102851,9.51344972209163e-06
451,50,0.0273333333333333,4.84816326530612,0.523078771204242,-0.165313968389577,0.1,0.1,2.48,0.00543429645680599,"small","unknown",0.502930983054377,1.8750873229472e-05,0.0270480704522631,1.09030815288202e-05
451,50,0.0273333333333333,4.84816326530612,0.523078771204242,-0.165313968389577,0.1,0.1,2.48,0.00543429645680599,"big","unknown",0.502930983054377,1.8750873229472e-05,0.0270480704522631,1.09030815288202e-05
471,50,0.0293333333333333,4.74122448979592,0.51190683024402,-0.129462301881203,0.1,0.1,2.44,0.00753592376425347,"small","unknown",0.504023214980129,1.87287308375238e-05,0.00908302105043442,1.05632752693568e-05
471,50,0.0293333333333333,4.74122448979592,0.51190683024402,-0.129462301881203,0.1,0.1,2.44,0.00753592376425347,"big","unknown",0.504023214980129,1.87287308375238e-05,0.00908302105043442,1.05632752693568e-05
949,50,0.0409523809523809,4.63265306122449,0.560452877329125,-0.112939416604338,0.1,0.1,2.48,0.00935250907919314,"small","unknown",0.491347183397075,1.78577678521671e-05,0.014011428481262,9.82898374967519e-06
949,50,0.0409523809523809,4.63265306122449,0.560452877329125,-0.112939416604338,0.1,0.1,2.48,0.00935250907919314,"big","unknown",0.491347183397075,1.78577678521671e-05,0.014011428481262,9.82898374967519e-06
1011,50,0.0253333333333333,4.4269387755102,0.605008642634238,-0.158560043968123,0.1,0.1,2.48,0.0230200703536744,"small","unknown",0.503865617767187,1.79180628161069e-05,0.0107832167796356,9.83375732063665e-06
1011,50,0.0253333333333333,4.4269387755102,0.605008642634238,-0.158560043968123,0.1,0.1,2.48,0.0230200703536744,"big","unknown",0.503865617767187,1.79180628161069e-05,0.0107832167796356,9.83375732063665e-06
1242,50,0.0213333333333333,5.19102040816326,0.620620990398453,-0.0542363355346355,0.1,0.1,2.44,0.00141908541448775,"small","unknown",0.514506452973846,1.85288607802677e-05,0.0065067273563643,1.02921237336059e-05
1242,50,0.0213333333333333,5.19102040816326,0.620620990398453,-0.0542363355346355,0.1,0.1,2.44,0.00141908541448775,"big","unknown",0.514506452973846,1.85288607802677e-05,0.0065067273563643,1.02921237336059e-05
1432,50,0.012,5.32244897959184,0.555465487590509,0,0.1,0.1,2.48,0.00150182164779976,"small","unknown",0.500894094559804,1.71739897752249e-05,0.0129049468729266,9.24460026154248e-06
1432,50,0.012,5.32244897959184,0.555465487590509,0,0.1,0.1,2.48,0.00150182164779976,"big","unknown",0.500894094559804,1.71739897752249e-05,0.0129049468729266,9.24460026154248e-06
1434,50,0.044,4.39836734693878,0.595932630575855,-0.074087725764836,0.1,0.1,2.48,0.0259948448354591,"small","unknown",0.496099457655288,1.81734745423869e-05,0.0116503072001395,1.00978626725548e-05
1434,50,0.044,4.39836734693878,0.595932630575855,-0.074087725764836,0.1,0.1,2.48,0.0259948448354591,"big","unknown",0.496099457655288,1.81734745423869e-05,0.0116503072001395,1.00978626725548e-05
1471,50,0.06,4.58122448979592,0.529378283237362,-0.0638604773144505,0.1,0.1,2.44,0.0124077683236654,"small","unknown",0.503002971380082,1.86066126997978e-05,0.0106886708343612,1.02771358224365e-05
1471,50,0.06,4.58122448979592,0.529378283237362,-0.0638604773144505,0.1,0.1,2.44,0.0124077683236654,"big","unknown",0.503002971380082,1.86066126997978e-05,0.0106886708343612,1.02771358224365e-05
1697,50,0.0466666666666667,4.39102040816327,0.616627541045069,-0.125591730267607,0.1,0.1,2.44,0.0259948448354591,"small","unknown",0.514858418377677,1.87906823219237e-05,0.00890780217931244,1.02199464555185e-05
1697,50,0.0466666666666667,4.39102040816327,0.616627541045069,-0.125591730267607,0.1,0.1,2.44,0.0259948448354591,"big","unknown",0.514858418377677,1.87906823219237e-05,0.00890780217931244,1.02199464555185e-05
1759,50,0.022952380952381,4.53061224489796,0.52893008000175,-0.184529556914494,0.1,0.1,2.44,0.0157288692531117,"small","unknown",0.49676908437974,1.89461195376313e-05,0.013667684471477,1.0513408425526e-05
1759,50,0.022952380952381,4.53061224489796,0.52893008000175,-0.184529556914494,0.1,0.1,2.44,0.0157288692531117,"big","unknown",0.49676908437974,1.89461195376313e-05,0.013667684471477,1.0513408425526e-05
1837,50,0.0473333333333333,4.2269387755102,0.591410225236536,-0.122704824616943,0.1,0.1,2.48,0.0426925162416383,"small","unknown",0.484970490104396,1.84955231904532e-05,0.00951655052821184,1.03740713303966e-05
1837,50,0.0473333333333333,4.2269387755102,0.591410225236536,-0.122704824616943,0.1,0.1,2.48,0.0426925162416383,"big","unknown",0.484970490104396,1.84955231904532e-05,0.00951655052821184,1.03740713303966e-05
2268,50,0.052,4.60816326530612,0.513962737259475,-0.0255198487712665,0.1,0.1,2.48,0.0124077683236654,"small","unknown",0.499509179687199,1.81956786226248e-05,0.0135220808912342,1.01485664295331e-05
2268,50,0.052,4.60816326530612,0.513962737259475,-0.0255198487712665,0.1,0.1,2.48,0.0124077683236654,"big","unknown",0.499509179687199,1.81956786226248e-05,0.0135220808912342,1.01485664295331e-05
2628,50,0.012,4.30530612244898,0.585720528861413,-0.0610886617542192,0.1,0.1,2.48,0.030308994606961,"small","unknown",0.492589711383686,1.70407023569391e-05,0.00743859737880229,9.24294282215588e-06
2628,50,0.012,4.30530612244898,0.585720528861413,-0.0610886617542192,0.1,0.1,2.48,0.030308994606961,"big","unknown",0.492589711383686,1.70407023569391e-05,0.00743859737880229,9.24294282215588e-06
