"","rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","neighbors","exponent","rep_id_old","density","path_type","ass_type","exp_type","size_type","mean_mean","mean_sd","sd_mean","sd_sd"
"169",4464,50,0,3.96979591836735,0.589762653433918,-0.4473509534154,0.1,2,2.76268252922116,4464,1.2205074120901,"unknown","small","unknown","unknown",0.495598098035589,2.64366437177134e-05,0.0116314745179907,1.0583807089647e-05
"170",4467,50,0,4.47020408163265,0.55389065765969,-0.257080610021786,0.1,2,2.83050472049188,4467,1.28419529922424,"unknown","unknown","unknown","small",0.508925732067978,2.50933864366881e-05,0.0160775780813033,1.06334952194868e-05
"171",4482,50,0,4.03591836734694,0.55451047641562,-0.276415149563894,0.1,2,2.64617776915204,4480,0.658851179156515,"unknown","unknown","small","unknown",0.49589540994815,2.55542124679211e-05,0.018567991234478,1.08780804949623e-05
"172",4522,50,0,3.95918367346939,0.574695728179523,-0.271677261738786,0.1,2,3.04538487040055,4522,0.621721219919881,"unknown","unknown","big","unknown",0.50955321399932,2.49430570690458e-05,0.0120638164313365,1.03307197583299e-05
"173",4553,50,0,3.45469387755102,0.577214783236175,-0.300418291098116,0.1,2,2.72530537515119,4553,0.166311003854845,"small","unknown","unknown","unknown",0.470002854935944,2.70085370095422e-05,0.0129109634939083,1.0579504754618e-05
"174",4563,50,0,4.49469387755102,0.634554335189108,-0.258616204968136,0.1,2,2.83441031740876,4563,1.25932827014909,"unknown","unknown","unknown","small",0.511782924754413,2.50507331959473e-05,0.022974786393996,1.10198862646682e-05
"175",4619,50,0,3.2930612244898,0.529276821649527,-0.30814408770556,0.1,2,2.73997666865317,4618,0.0742480774254505,"small","unknown","unknown","unknown",0.527041365615558,2.70693794517717e-05,0.0113548784384534,1.04397713220398e-05
"176",4629,50,0,4.47591836734694,0.595073668365975,-0.28085879224233,0.1,2,2.85762587416027,4628,1.20177746917109,"unknown","unknown","unknown","small",0.515936126965305,2.4828646717917e-05,0.0168792403774248,1.09039441261671e-05
"177",4677,50,0,3.96081632653061,0.586862885198837,-0.103717895608948,0.1,2,2.79719285608758,4678,1.50025721046643,"unknown","big","unknown","unknown",0.491353568177947,2.51210874852208e-05,0.021199733201422,1.09305406446597e-05
"178",4719,50,0,4.49224489795918,0.574670907059655,-0.345053589328399,0.1,2,2.82103438682423,4719,1.24433920228286,"unknown","unknown","unknown","small",0.495391662271888,2.53252840726221e-05,0.00883576185617473,1.07291135186556e-05
"179",4745,50,0,3.92571428571429,0.621086041591456,-0.267898383371825,0.1,2,2.62884825013923,4746,0.395063488570901,"unknown","unknown","small","unknown",0.508672706234676,2.60217238944725e-05,0.0111304549950512,1.07471012844794e-05
"180",4785,50,0,3.94530612244898,0.605448040342953,-0.434427877847683,0.1,2,2.80415599876789,4786,1.60133763856,"unknown","small","unknown","unknown",0.486212368008007,2.62581982953046e-05,0.0238393183941875,1.04288084232415e-05
"181",4803,50,0,3.42204081632653,0.506997044431299,-0.287778275810548,0.1,2,2.74939370259927,4803,0.198882417543107,"small","unknown","unknown","unknown",0.501775695251115,2.68056283251542e-05,0.0175436985604728,1.04612115381422e-05
"182",4885,50,0,4.03102040816327,0.578302382943087,-0.273314450023604,0.1,2,3.13669221925097,4885,0.542961455141282,"unknown","unknown","big","unknown",0.511364238928901,2.49236819025434e-05,0.00922992617683206,1.03820105447973e-05
"183",4909,50,0,5.36734693877551,0.550630939929699,-0.326164874551971,0.1,2,2.74537078783601,4909,0.169693991289594,"big","unknown","unknown","unknown",0.507593307757865,2.45668856293454e-05,0.024052402897933,1.08367526991465e-05
"184",4950,50,0,4.01551020408163,0.549121475758851,-0.282837771605947,0.1,2,2.61473629604147,4950,0.367203396643067,"unknown","unknown","small","unknown",0.509737593819109,2.63810282669374e-05,0.0190911693480968,1.10055334198616e-05
"185",4957,50,0,4.06938775510204,0.589157786309861,-0.436087570621469,0.1,2,2.80140597003281,4957,1.61504809973029,"unknown","small","unknown","unknown",0.493993798777352,2.64445521677059e-05,0.0265331770399662,1.05829632966829e-05
"186",4973,50,0,3.97551020408163,0.607601913861456,-0.428233180927498,0.1,2,2.80548642177058,4973,1.63010841323433,"unknown","small","unknown","unknown",0.51058608796711,2.63768413087508e-05,0.0117470110816226,1.06873489226097e-05
"187",4996,50,0,4.0465306122449,0.53305127708345,-0.451521110098637,0.1,2,2.76255346651959,4995,1.28171315559076,"unknown","small","unknown","unknown",0.513681890922499,2.79868478935318e-05,0.0142942164204955,9.9425732908017e-06
"188",5096,50,0,3.43755102040816,0.48117755666613,-0.328089461713419,0.1,2,2.81460684436741,5096,0.260646279676425,"small","unknown","unknown","unknown",0.516684739578899,2.69436152663005e-05,0.0115087885375136,1.02846045485247e-05
"189",5102,50,0,4.46938775510204,0.573312996428903,-0.268608414239482,0.1,2,2.89759259051521,5102,1.40254305571317,"unknown","unknown","unknown","small",0.498434813147492,2.46650139157578e-05,0.0149749819172485,1.07019622499015e-05
"190",5109,50,0,4.09469387755102,0.602440016839184,-0.245742092457421,0.1,2,3.02864569472721,5109,0.832703009921823,"unknown","unknown","big","unknown",0.516059708653887,2.51179562517673e-05,0.0105389296693769,1.05386756902638e-05
"191",5170,50,0,3.94857142857143,0.583531170654521,-0.225306326581645,0.1,2,2.62010577408725,5170,0.395063488570901,"unknown","unknown","small","unknown",0.506419818214169,2.6109457254639e-05,0.0263644797520266,1.09890606644235e-05
"192",5194,50,0,3.40979591836735,0.607329121961163,-0.333276998478959,0.1,2,2.8134441011602,5194,0.260646279676425,"small","unknown","unknown","unknown",0.497898394078094,2.70888136475419e-05,0.0105319024196514,1.04384095254397e-05
"193",5206,50,0,3.88571428571429,0.588055238786764,-0.427609231545643,0.1,2,2.80479812685179,5206,1.5339558108642,"unknown","small","unknown","unknown",0.492145469826132,2.62618813205808e-05,0.0151861997955938,1.04028225897927e-05
"194",5277,50,0,4.93469387755102,0.526544691040345,-0.277343307265103,0.1,2,2.75143987992571,5278,0.46906483285836,"big","unknown","unknown","unknown",0.525847342457424,2.48815378813322e-05,0.0205458020886747,1.08692285343124e-05
"195",5320,50,0,5.08734693877551,0.620139000038688,-0.310340869964421,0.1,2,2.74649861839742,5318,0.325595172033784,"big","unknown","unknown","unknown",0.491424485225562,2.43547797588057e-05,0.0144938291291834,1.10250307117458e-05
