"rep_id","network_type","size","clustering","pathlength","value_lang_start","assortativity","exponent","init_lang_exp","node_degree","path_type","exp_type","size_type","neigh_type","clus_type","ass_type","inter_var","mean_intra_var","std_intra_var"
55,"Random",50,0.012,4.36326530612245,0.628940950923427,-0.192868098159509,NA,"Without",2.44,"Low",NA,NA,"None",NA,NA,0.0172922318368656,2.21214288089145,0.0349923607407788
56,"Random",50,0.0266666666666667,4.36408163265306,0.578145283905202,-0.154732510288066,NA,"Without",2.44,"Low",NA,NA,"None",NA,NA,0.0185624988709112,2.23416943028293,0.0246017501652361
57,"Random",50,0.0233333333333333,4.36489795918367,0.546515319993878,-0.123958843704067,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0161502236027206,2.26035388807448,0.0329262096662744
58,"Random",50,0.0473333333333333,4.3665306122449,0.566448999300618,-0.0762643212591136,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0239909283129761,2.23547886937605,0.03725276365939
59,"Random",50,0.0113333333333333,4.3665306122449,0.546309397330682,-0.0894056847545219,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0303985475227189,2.21408895352941,0.0519927521139254
60,"Random",50,0.0193333333333333,4.3665306122449,0.531085148111147,-0.0703324808184143,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0188200565968318,2.24245850429202,0.0387147279795219
61,"Random",50,0.0446666666666667,4.3665306122449,0.601084220517732,-0.0789515999356808,NA,"Without",2.44,"Low",NA,NA,"None",NA,NA,0.0196824269063914,2.22973110051515,0.026281614026501
62,"Random",50,0.0166666666666667,4.36734693877551,0.513303588293696,-0.0985964912280704,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0167201077428355,2.25169582055005,0.0219842430019404
63,"Random",50,0.0453333333333333,4.37877551020408,0.560066259224127,-0.161748869265561,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0184126028604836,2.25413566209693,0.0292789791097855
64,"Random",50,0.012,4.38040816326531,0.555113856624137,-0.025431264449582,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0199826119136691,2.24829518933013,0.0259893839520088
65,"Random",50,0.0646666666666667,4.38285714285714,0.486383799102744,-0.106555201698514,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0215918179712626,2.23736745366764,0.0396429338263657
66,"Random",50,0.0334285714285714,4.39265306122449,0.618244157650134,-0.11244665098859,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0170947598975795,2.26142586085346,0.0327667622730789
67,"Random",50,0.012,4.39428571428571,0.606870071727803,-0.0525795285973297,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0170052685460142,2.25476172771576,0.0261727526139852
68,"Random",50,0.02,4.39673469387755,0.601122875675535,-0.159108989657916,NA,"Without",2.48,"Low",NA,NA,"None",NA,NA,0.0222322844224787,2.24278130244164,0.0354349864684976
