"rep_id","network_type","size","clustering","pathlength","value_lang_start","assortativity","exponent","init_lang_exp","node_degree","connection_prob","rewire","inter_var","mean_intra_var","std_intra_var"
1,"Scalefree",50,0,"4.01469387755102",0.53529671853628,-0.443581742979465,2.613994852433,"Without",1.96,NA,NA,0.0290875865091615,2.22145712540356,0.040917111968236
2,"Scalefree",50,0,"4.89714285714286",0.492772358614876,-0.324212830442835,2.59679936583856,"Without",1.96,NA,NA,0.0347888355217116,2.22450067794331,0.0341421049810791
3,"Scalefree",50,0,"3.79918367346939",0.524313937963766,-0.462074994773552,2.61594109598782,"Without",1.96,NA,NA,0.0382318523068596,2.17949965569632,0.0712789281713134
4,"Scalefree",50,0,"3.8669387755102",0.537125495345328,-0.306666666666667,2.96934379805658,"Without",1.96,NA,NA,0.0250247786835296,2.17789733387028,0.0367551041905463
5,"Scalefree",50,0,"3.3869387755102",0.515028716066402,-0.350366011195637,2.91448680989322,"Without",1.96,NA,NA,0.018350402439885,2.23329290592755,0.0314868606490893
6,"Scalefree",50,0,"3.97632653061225",0.567797519713149,-0.195322668682034,2.85251396100629,"Without",1.96,NA,NA,0.0239715435124964,2.21495763003682,0.0338026197780348
7,"Scalefree",50,0,"4.57224489795918",0.576999123832224,-0.305114638447971,3.1293251898349,"Without",1.96,NA,NA,0.0237328932105994,2.23650006148329,0.0326842400527092
8,"Scalefree",50,0,"3.84163265306122",0.572237588753194,-0.361111111111111,2.83835812400436,"Without",1.96,NA,NA,0.0222438529620058,2.22442400483087,0.035795034483759
9,"Scalefree",50,0,"4.45469387755102",0.585348484076689,-0.411581162470068,2.613994852433,"Without",1.96,NA,NA,0.0218597889086483,2.23790769700801,0.0242559890473401
10,"Scalefree",50,0,"3.28734693877551",0.567302531241725,-0.3477781381771,2.63402119381609,"Without",1.96,NA,NA,0.0198424907807501,2.22850858666564,0.0376870295105975
11,"Scalefree",50,0,"3.40816326530612",0.506191390405313,-0.430613758256161,3.03687670991578,"Without",1.96,NA,NA,0.0208428397904779,2.23708227857184,0.0296063070278904
12,"Scalefree",50,0,"3.80979591836735",0.551372656195985,-0.392240857716789,2.86415867605968,"Without",1.96,NA,NA,0.0349509646531575,2.2111146144147,0.0377375774991085
13,"Scalefree",50,0,"4.34204081632653",0.553526551547098,-0.278251361242524,2.92276221905941,"Without",1.96,NA,NA,0.0297295613804887,2.207666096772,0.0260343634333119
14,"Scalefree",50,0,"3.88897959183673",0.518223409210256,-0.359662935693918,2.9818500844067,"Without",1.96,NA,NA,0.0178325130593403,2.24467110032008,0.0186229105091483
15,"Scalefree",50,0,"4.85795918367347",0.562281363395895,-0.299099099099099,2.9203917473877,"Without",1.96,NA,NA,0.0373725908863687,2.19979804104184,0.0380425762102468
16,"Scalefree",50,0,"4.32408163265306",0.578329159982986,-0.254071661237785,2.71349302322518,"Without",1.96,NA,NA,0.0225555325112802,2.21939344336631,0.0334371148663871
17,"Scalefree",50,0,"4.22775510204082",0.584699714248269,-0.374988721465307,2.63261921196253,"Without",1.96,NA,NA,0.015137688973501,2.24524271447583,0.0281049727044336
18,"Scalefree",50,0,"4.13551020408163",0.550120101557954,-0.281405876077617,2.71314028362984,"Without",1.96,NA,NA,0.0300906586681123,2.14641619408656,0.0311899983171545
19,"Scalefree",50,0,"3.8734693877551",0.550834210977293,-0.359462220005225,2.89561449230373,"Without",1.96,NA,NA,0.0348511516667129,2.18811160550703,0.0344469139180604
20,"Scalefree",50,0,"4.84816326530612",0.632201849139598,-0.429272070211667,2.65611964509026,"Without",1.96,NA,NA,0.0329996984844862,2.21255825996816,0.0394994732964554
21,"Scalefree",50,0,"3.88489795918367",0.56583668825774,-0.483544904496381,2.6836939741563,"Without",1.96,NA,NA,0.030109025072771,2.18776637035289,0.0321064874785236
22,"Scalefree",50,0,"3.90857142857143",0.582848856511699,-0.310457516339869,2.93479834440494,"Without",1.96,NA,NA,0.0253774825720225,2.20347288919884,0.0448253152512939
23,"Scalefree",50,0,"3.74204081632653",0.554336859557442,-0.269492696407422,2.86085896466221,"Without",1.96,NA,NA,0.0216410508774172,2.2278892125246,0.0286235098775349
24,"Scalefree",50,0,"3.59673469387755",0.638600252854926,-0.322937625754527,2.93063200175536,"Without",1.96,NA,NA,0.0237957395811764,2.19072791707172,0.0320568337814478
25,"Scalefree",50,0,"4.46204081632653",0.515418480738678,-0.281989463344942,2.60010365308249,"Without",1.96,NA,NA,0.0223219462254302,2.24956151486948,0.0207423941875896
26,"Scalefree",50,0,"4.30857142857143",0.565529091183863,-0.302033237961892,2.93830647967782,"Without",1.96,NA,NA,0.0213539697028628,2.24720356027874,0.0355158183303007
27,"Scalefree",50,0,"4.20489795918367",0.51832331657982,-0.455773126266036,2.58992185286948,"Without",1.96,NA,NA,0.0269770208424785,2.23415944726591,0.0209747444681011
28,"Scalefree",50,0,"4.00489795918367",0.540550222146263,-0.342350310803174,2.7823493614015,"Without",1.96,NA,NA,0.0191140264728225,2.18748098661593,0.0603550937820391
29,"Scalefree",50,0,"4.72489795918367",0.542549432153971,-0.398950131233596,2.96375320258424,"Without",1.96,NA,NA,0.039508964339376,2.19665070334303,0.040263497903742
30,"Scalefree",50,0,"4.48979591836735",0.548613043625297,-0.270023369449756,2.98876935198963,"Without",1.96,NA,NA,0.0294515946045572,2.21223203760811,0.0467886318553378
31,"Scalefree",50,0,"4.38775510204082",0.547533838645606,-0.462835093419984,2.61970180082638,"Without",1.96,NA,NA,0.0318410692350678,2.22861208291511,0.0296226990883999
32,"Scalefree",50,0,"4.41877551020408",0.525643289405287,-0.435755295980993,2.66314205143719,"Without",1.96,NA,NA,0.0446470200318528,2.18327872676202,0.0516059642719187
33,"Scalefree",50,0,"3.81551020408163",0.541036635144007,-0.308311467271825,2.934499581809,"Without",1.96,NA,NA,0.0134418426278245,2.22173593662784,0.02831081717616
34,"Scalefree",50,0,"3.59591836734694",0.525185430956253,-0.258004107768515,2.934499581809,"Without",1.96,NA,NA,0.020003301045219,2.23863178890062,0.0233346251731374
35,"Scalefree",50,0,"4.22122448979592",0.556748990595854,-0.370965762670266,2.67105758607507,"Without",1.96,NA,NA,0.0286087819412929,2.21218252131149,0.0207269444656769
36,"Scalefree",50,0,"4.7534693877551",0.566416476539905,-0.423373019425298,2.75877115925376,"Without",1.96,NA,NA,0.0251658662607913,2.22460295638635,0.0400383961909264
37,"Scalefree",50,0,"3.40081632653061",0.585196106577772,-0.311473453966991,2.81652180560284,"Without",1.96,NA,NA,0.018517392377236,2.24131305592309,0.0287906622921784
38,"Scalefree",50,0,"3.43836734693878",0.600040189379056,-0.371155172413793,2.76819707160868,"Without",1.96,NA,NA,0.0306258993942652,2.20057229576316,0.051084735272213
39,"Scalefree",50,0,"4.36571428571429",0.579419838496093,-0.260494699646643,2.86133021686615,"Without",1.96,NA,NA,0.0372532033141087,2.19095620960114,0.0487870851118246
40,"Scalefree",50,0,"3.88326530612245",0.552981033630895,-0.457355975842941,2.83525015161107,"Without",1.96,NA,NA,0.0377589296412353,2.17548558808218,0.040547706398849
41,"Scalefree",50,0,"4.36",0.555819689130572,-0.182125882183494,2.77295639114457,"Without",1.96,NA,NA,0.025795591903641,2.22534278833359,0.0362079224760228
42,"Scalefree",50,0,"5.10857142857143",0.639192834722543,-0.236311613994018,2.66466463444066,"Without",1.96,NA,NA,0.0324503718585688,2.22215729920932,0.0392201930668892
43,"Scalefree",50,0,"4.47836734693878",0.576150780455713,-0.201733357919971,2.73920731403316,"Without",1.96,NA,NA,0.0292820340745791,2.22309910167049,0.031448584725313
44,"Scalefree",50,0,"3.38612244897959",0.547739955326063,-0.428490028490028,2.80746552046218,"Without",1.96,NA,NA,0.0295326488366405,2.19833560293729,0.0280824478504684
45,"Scalefree",50,0,"3.69877551020408",0.560168879082106,-0.3320613509636,2.89021894639464,"Without",1.96,NA,NA,0.0295286465777615,2.214057942753,0.0314938938235925
46,"Scalefree",50,0,"3.62448979591837",0.533917367674653,-0.381580240672873,2.77075054106199,"Without",1.96,NA,NA,0.0345496386552742,2.12660629880634,0.0532395724754688
47,"Scalefree",50,0,"3.35918367346939",0.555601550781083,-0.350497349887461,2.85951889831,"Without",1.96,NA,NA,0.0309675707827345,2.17916972131303,0.0571423443845419
48,"Scalefree",50,0,"4.66285714285714",0.550305632060551,-0.216723450944159,3.00937711233545,"Without",1.96,NA,NA,0.0288786707874334,2.22531027127076,0.0426935516677515
49,"Scalefree",50,0,"4.12979591836735",0.592075308599582,-0.306807183568126,2.65119940876562,"Without",1.96,NA,NA,0.033684842249935,2.21006383545093,0.0607534329919127
50,"Scalefree",50,0,"3.45877551020408",0.538253133519147,-0.446496840390452,3.14603360722912,"Without",1.96,NA,NA,0.0175061276971782,2.2290743023829,0.0238752668687425
51,"Scalefree",50,0,"3.23836734693878",0.614079575727449,-0.426167535407782,3.04018671648575,"Without",1.96,NA,NA,0.0167351551371023,2.22814667941409,0.0216036763530698
52,"Scalefree",50,0,"4.40163265306122",0.574763591319791,-0.230758139400755,2.82557114149059,"Without",1.96,NA,NA,0.0274040170616474,2.20714576623907,0.0481303277470206
