"utterance","init_lang_exp","percent_bias","utt_biased","level_bias","metric_biased","size_net","mean_cond","std_cond","network_type","rewire"
10,"With (weak)",20,7,"Lowest","Degree",150,0.0607827393949688,0.0282092604961831,"Scalefree",NA
10,"With (weak)",20,7,"Random","No biased agents",150,0.0573752344714866,0.0256862987812588,"Scalefree",NA
10,"With (strong)",0,NA,"None","No biased agents",150,0.0338532228135861,0.0160553187482494,"Scalefree",NA
10,"With (strong)",20,7,"Highest","Betweenness c.",150,0.0283570478818026,0.0130448265819861,"Scalefree",NA
10,"With (strong)",20,7,"Highest","Closeness c.",150,0.0290925446175114,0.0142984325115467,"Scalefree",NA
10,"With (strong)",20,7,"Highest","Eigenvector c.",150,0.0291217532240307,0.0140596595459798,"Scalefree",NA
10,"With (strong)",20,7,"Highest","Clustering",150,0.0312260427630417,0.0150122040972986,"Scalefree",NA
10,"With (strong)",20,7,"Highest","Degree",150,0.0291430238646976,0.0141319346075413,"Scalefree",NA
10,"With (strong)",20,7,"Lowest","Betweenness c.",150,0.0299258194932981,0.0144232256591973,"Scalefree",NA
10,"With (strong)",20,7,"Lowest","Closeness c.",150,0.0312324514600929,0.0157228200229192,"Scalefree",NA
10,"With (strong)",20,7,"Lowest","Eigenvector c.",150,0.0315974488794478,0.0157071899548367,"Scalefree",NA
10,"With (strong)",20,7,"Lowest","Clustering",150,0.0314840578915986,0.0149789064004861,"Scalefree",NA
10,"With (strong)",20,7,"Lowest","Degree",150,0.0305615440050244,0.0145979476915775,"Scalefree",NA
10,"With (strong)",20,7,"Random","No biased agents",150,0.0300234170874613,0.0145804692981723,"Scalefree",NA
2,"Without",0,NA,"None","No biased agents",150,0.0968928857283011,0.0404102163753373,"Scalefree",NA
2,"Without",20,7,"Highest","Betweenness c.",150,0.0702277988205456,0.031153317877028,"Scalefree",NA
2,"Without",20,7,"Highest","Closeness c.",150,0.0770176936940667,0.0371995809751929,"Scalefree",NA
2,"Without",20,7,"Highest","Eigenvector c.",150,0.0780739900038363,0.0400641230854958,"Scalefree",NA
2,"Without",20,7,"Highest","Clustering",150,0.0822823907902576,0.0368746463527992,"Scalefree",NA
2,"Without",20,7,"Highest","Degree",150,0.067934788567558,0.029471980169236,"Scalefree",NA
2,"Without",20,7,"Lowest","Betweenness c.",150,0.0850457560542953,0.0375571970567603,"Scalefree",NA
2,"Without",20,7,"Lowest","Closeness c.",150,0.088047716713608,0.041040285252624,"Scalefree",NA
2,"Without",20,7,"Lowest","Eigenvector c.",150,0.0847617695835612,0.0394123580847914,"Scalefree",NA
2,"Without",20,7,"Lowest","Clustering",150,0.0813053931918955,0.0360568213946759,"Scalefree",NA
2,"Without",20,7,"Lowest","Degree",150,0.0848711547631738,0.037284630831833,"Scalefree",NA
2,"Without",20,7,"Random","No biased agents",150,0.0825188554642645,0.0362877849370966,"Scalefree",NA
2,"With (weak)",0,NA,"None","No biased agents",150,0.0660928242413195,0.0292903427036658,"Scalefree",NA
2,"With (weak)",20,7,"Highest","Betweenness c.",150,0.0501480085622205,0.0233192841489828,"Scalefree",NA
2,"With (weak)",20,7,"Highest","Closeness c.",150,0.0547064043284733,0.0263327004720005,"Scalefree",NA
2,"With (weak)",20,7,"Highest","Eigenvector c.",150,0.0535502857272249,0.027263808533295,"Scalefree",NA
2,"With (weak)",20,7,"Highest","Clustering",150,0.058021695337317,0.0269187662790927,"Scalefree",NA
2,"With (weak)",20,7,"Highest","Degree",150,0.0516022220268435,0.0235951868001907,"Scalefree",NA
2,"With (weak)",20,7,"Lowest","Betweenness c.",150,0.0583588544208175,0.0271889264753068,"Scalefree",NA
2,"With (weak)",20,7,"Lowest","Closeness c.",150,0.0584986830726032,0.028645757607319,"Scalefree",NA
2,"With (weak)",20,7,"Lowest","Eigenvector c.",150,0.0593141162125892,0.0279789605785668,"Scalefree",NA
2,"With (weak)",20,7,"Lowest","Clustering",150,0.0571836222935183,0.0263056351138999,"Scalefree",NA
2,"With (weak)",20,7,"Lowest","Degree",150,0.057029050288928,0.0261560579550323,"Scalefree",NA
2,"With (weak)",20,7,"Random","No biased agents",150,0.0570152626868082,0.0274993897119317,"Scalefree",NA
2,"With (strong)",0,NA,"None","No biased agents",150,0.0332555200863402,0.0161310689475592,"Scalefree",NA
2,"With (strong)",20,7,"Highest","Betweenness c.",150,0.0288777846902403,0.0136529730512759,"Scalefree",NA
2,"With (strong)",20,7,"Highest","Closeness c.",150,0.0288127942055903,0.0138786996144624,"Scalefree",NA
2,"With (strong)",20,7,"Highest","Eigenvector c.",150,0.0291137195565907,0.0142822122331547,"Scalefree",NA
2,"With (strong)",20,7,"Highest","Clustering",150,0.0300006003310774,0.0146080528059942,"Scalefree",NA
2,"With (strong)",20,7,"Highest","Degree",150,0.0282803265773149,0.0134454781873498,"Scalefree",NA
2,"With (strong)",20,7,"Lowest","Betweenness c.",150,0.0303981822597046,0.0151589473865357,"Scalefree",NA
2,"With (strong)",20,7,"Lowest","Closeness c.",150,0.0324050927477602,0.0158770710140653,"Scalefree",NA
2,"With (strong)",20,7,"Lowest","Eigenvector c.",150,0.0316980650277297,0.0154759090003915,"Scalefree",NA
2,"With (strong)",20,7,"Lowest","Clustering",150,0.0300143985140604,0.0142362716115178,"Scalefree",NA
2,"With (strong)",20,7,"Lowest","Degree",150,0.0310374789483125,0.0149594017823526,"Scalefree",NA
2,"With (strong)",20,7,"Random","No biased agents",150,0.0299353755028117,0.0144659041854032,"Scalefree",NA
3,"Without",0,NA,"None","No biased agents",150,0.0988209945096204,0.0405895529380805,"Scalefree",NA
3,"Without",20,7,"Highest","Betweenness c.",150,0.0693250985779496,0.0302588785035751,"Scalefree",NA
3,"Without",20,7,"Highest","Closeness c.",150,0.0766104704332198,0.0362773733948335,"Scalefree",NA
3,"Without",20,7,"Highest","Eigenvector c.",150,0.0769429072584471,0.038220307265739,"Scalefree",NA
3,"Without",20,7,"Highest","Clustering",150,0.0791727920329165,0.0361226840923686,"Scalefree",NA
3,"Without",20,7,"Highest","Degree",150,0.0701225226579704,0.0308545957898921,"Scalefree",NA
3,"Without",20,7,"Lowest","Betweenness c.",150,0.0850014270607177,0.038474098499487,"Scalefree",NA
3,"Without",20,7,"Lowest","Closeness c.",150,0.0867620839849638,0.0417343791320435,"Scalefree",NA
3,"Without",20,7,"Lowest","Eigenvector c.",150,0.0873252008602749,0.0424555041884894,"Scalefree",NA
3,"Without",20,7,"Lowest","Clustering",150,0.0794524587770518,0.0345239392745812,"Scalefree",NA
3,"Without",20,7,"Lowest","Degree",150,0.0864681455554085,0.0375887132231941,"Scalefree",NA
3,"Without",20,7,"Random","No biased agents",150,0.0817297523523634,0.036908461693276,"Scalefree",NA
3,"With (weak)",0,NA,"None","No biased agents",150,0.0647555279627259,0.0275912191680537,"Scalefree",NA
3,"With (weak)",20,7,"Highest","Betweenness c.",150,0.0513303236001104,0.0234857855638797,"Scalefree",NA
3,"With (weak)",20,7,"Highest","Closeness c.",150,0.0547762919493703,0.0261280518603125,"Scalefree",NA
3,"With (weak)",20,7,"Highest","Eigenvector c.",150,0.0536756082978654,0.0255163096109137,"Scalefree",NA
3,"With (weak)",20,7,"Highest","Clustering",150,0.0566413220481621,0.0257662701337317,"Scalefree",NA
3,"With (weak)",20,7,"Highest","Degree",150,0.0500661529923645,0.0221804094063068,"Scalefree",NA
3,"With (weak)",20,7,"Lowest","Betweenness c.",150,0.0593188526671934,0.0282086039362681,"Scalefree",NA
3,"With (weak)",20,7,"Lowest","Closeness c.",150,0.0593918788256634,0.0279333953212679,"Scalefree",NA
3,"With (weak)",20,7,"Lowest","Eigenvector c.",150,0.0593621935665445,0.0286201729849781,"Scalefree",NA
3,"With (weak)",20,7,"Lowest","Clustering",150,0.0567049802050028,0.0258402549910678,"Scalefree",NA
3,"With (weak)",20,7,"Lowest","Degree",150,0.0591185587906196,0.026947974114235,"Scalefree",NA
3,"With (weak)",20,7,"Random","No biased agents",150,0.0550727269738949,0.0253772387581805,"Scalefree",NA
3,"With (strong)",0,NA,"None","No biased agents",150,0.0339762696063414,0.0152745335460224,"Scalefree",NA
3,"With (strong)",20,7,"Highest","Betweenness c.",150,0.0284630151598845,0.0133008165930421,"Scalefree",NA
3,"With (strong)",20,7,"Highest","Closeness c.",150,0.0288692142782978,0.014176323630076,"Scalefree",NA
3,"With (strong)",20,7,"Highest","Eigenvector c.",150,0.0286948361529049,0.0146494743708815,"Scalefree",NA
3,"With (strong)",20,7,"Highest","Clustering",150,0.0296011160062011,0.0142795301197259,"Scalefree",NA
3,"With (strong)",20,7,"Highest","Degree",150,0.0282190296206359,0.0134469573952123,"Scalefree",NA
3,"With (strong)",20,7,"Lowest","Betweenness c.",150,0.0300001421288136,0.0143939111607099,"Scalefree",NA
3,"With (strong)",20,7,"Lowest","Closeness c.",150,0.0314689419471222,0.0159544386677374,"Scalefree",NA
3,"With (strong)",20,7,"Lowest","Eigenvector c.",150,0.0305943523824619,0.0154783933298853,"Scalefree",NA
3,"With (strong)",20,7,"Lowest","Clustering",150,0.0297848136314263,0.0142848161290257,"Scalefree",NA
3,"With (strong)",20,7,"Lowest","Degree",150,0.0295204745835197,0.0142923696200404,"Scalefree",NA
3,"With (strong)",20,7,"Random","No biased agents",150,0.0295683561610916,0.0144881192444707,"Scalefree",NA
4,"Without",0,NA,"None","No biased agents",150,0.0999145629256604,0.0412622504753326,"Scalefree",NA
4,"Without",20,7,"Highest","Betweenness c.",150,0.071406686671404,0.0320341986118773,"Scalefree",NA
4,"Without",20,7,"Highest","Closeness c.",150,0.075379667586437,0.0381399419476553,"Scalefree",NA
4,"Without",20,7,"Highest","Eigenvector c.",150,0.0778395650492561,0.0380942060727269,"Scalefree",NA
4,"Without",20,7,"Highest","Clustering",150,0.0833835610923943,0.0354717157119327,"Scalefree",NA
4,"Without",20,7,"Highest","Degree",150,0.072047871549134,0.0314310493594783,"Scalefree",NA
4,"Without",20,7,"Lowest","Betweenness c.",150,0.0853430128960413,0.0376788840877591,"Scalefree",NA
4,"Without",20,7,"Lowest","Closeness c.",150,0.0874914169418322,0.0384064966271,"Scalefree",NA
4,"Without",20,7,"Lowest","Eigenvector c.",150,0.0850836917384384,0.0391529999241588,"Scalefree",NA
4,"Without",20,7,"Lowest","Clustering",150,0.0820149080824236,0.0368381316052066,"Scalefree",NA
4,"Without",20,7,"Lowest","Degree",150,0.0856969255756215,0.0383794365889435,"Scalefree",NA
4,"Without",20,7,"Random","No biased agents",150,0.0816704640542944,0.0376414018585549,"Scalefree",NA
4,"With (weak)",0,NA,"None","No biased agents",150,0.401053740493547,0.0596419581216389,"Scalefree",NA
4,"With (weak)",20,7,"Highest","Betweenness c.",150,0.30526578282271,0.0517764322350542,"Scalefree",NA
4,"With (weak)",20,7,"Highest","Closeness c.",150,0.323405477041596,0.0699246011714054,"Scalefree",NA
4,"With (weak)",20,7,"Highest","Eigenvector c.",150,0.330340163603956,0.0722273402972329,"Scalefree",NA
4,"With (weak)",20,7,"Highest","Clustering",150,0.341828601240614,0.0598767983912316,"Scalefree",NA
4,"With (weak)",20,7,"Highest","Degree",150,0.306811821221281,0.0510840664651235,"Scalefree",NA
4,"With (weak)",20,7,"Lowest","Betweenness c.",150,0.35263581980511,0.0574900911761436,"Scalefree",NA
4,"With (weak)",20,7,"Lowest","Closeness c.",150,0.356597254136738,0.0753525055762767,"Scalefree",NA
4,"With (weak)",20,7,"Lowest","Eigenvector c.",150,0.35013086141298,0.0747582135958527,"Scalefree",NA
