"rep_id","network_type","size","clustering","pathlength","value_lang_start","assortativity","exponent","init_lang_exp","node_degree","mean_lang","inter_var","mean_intra_var","std_intra_var"
544,"Small-world",50,0.189333333333333,"3.13387755102041",0.55230049436235,-0.0413653456754409,NA,"With (weak)",4,0.556210439830688,8.98871292969965e-06,0.00830438676093932,2.70689740095871e-06
545,"Small-world",50,0.126,"2.99020408163265",0.465689703116331,-0.148815835984447,NA,"With (weak)",4,0.539817671451323,8.9887131765976e-06,0.00736018211735986,2.68352914083879e-06
546,"Small-world",50,0.172571428571429,"3.21224489795918",0.49132405169791,-0.00431430794257014,NA,"With (weak)",4,0.458251178442574,8.95062251267182e-06,0.0236732187792404,2.35902085728155e-06
547,"Small-world",50,0.318,"3.59102040816327",0.438973332675118,-0.113098787517392,NA,"With (weak)",4,0.533450253345716,8.64428832396156e-06,0.0267106650311738,1.84474816975111e-06
548,"Small-world",50,0.130666666666667,"2.98530612244898",0.493699300437742,-0.171431069149401,NA,"With (weak)",4,0.545347569477674,9.13314773261661e-06,0.00968503590640172,3.09440907021097e-06
549,"Small-world",50,0.205428571428571,"3.05959183673469",0.474170227963691,0.00884415980481863,NA,"With (weak)",4,0.474164054177282,8.94982651910793e-06,0.0120124364576545,2.60282684754969e-06
550,"Small-world",50,0.208571428571429,"3.0669387755102",0.534842775206895,-0.230111962286387,NA,"With (weak)",4,0.606150764076247,9.05061494515234e-06,0.0170329211489137,2.75482159278959e-06
551,"Small-world",50,0.242285714285714,"3.24408163265306",0.534012991470838,0.0387596899224806,NA,"With (weak)",4,0.466781316987819,8.97283962414804e-06,0.0283559587091484,2.78675121974111e-06
552,"Small-world",50,0.292,"3.30367346938776",0.600411201750619,-0.114206128133705,NA,"With (weak)",4,0.485764094914938,8.76650428714138e-06,0.0132614374718388,2.10358534687534e-06
553,"Small-world",50,0.186,"3.20408163265306",0.509528607431918,-0.197972661649517,NA,"With (weak)",4,0.475842268927413,8.73317257103854e-06,0.0136537063493699,2.04821366309907e-06
554,"Small-world",50,0.208571428571429,"3.20408163265306",0.491458977789018,0.0793911220490387,NA,"With (weak)",4,0.557456677207353,8.97284085861307e-06,0.0136562133374321,2.67136353663258e-06
555,"Small-world",50,0.203333333333333,"3.11673469387755",0.46713011925838,-0.0711398544866611,NA,"With (weak)",4,0.457697034872214,9.07918499760424e-06,0.0194211847098802,2.78614075807564e-06
556,"Small-world",50,0.207333333333333,"3.08163265306122",0.518858883919188,0.0303379416282643,NA,"With (weak)",4,0.50406677970592,9.04426447310671e-06,0.0182188913532667,2.88998333543622e-06
557,"Small-world",50,0.304,"3.38775510204082",0.543259867448526,-0.237402729940043,NA,"With (weak)",4,0.481633084368476,8.75539387970573e-06,0.0250949159113695,2.06511888869982e-06
558,"Small-world",50,0.187714285714286,"3.10938775510204",0.495494619265465,-0.0196078431372549,NA,"With (weak)",4,0.492944044381128,8.86808577491453e-06,0.0124549297536685,2.35865896299912e-06
559,"Small-world",50,0.207238095238095,"3.08571428571429",0.505766004194031,-0.0154414232964082,NA,"With (weak)",4,0.511850220150594,8.95062103130885e-06,0.00898818684300866,2.51410887500628e-06
560,"Small-world",50,0.213380952380952,"3.13795918367347",0.443791280623806,-0.0670731707317071,NA,"With (weak)",4,0.462007012065031,9.06093207485209e-06,0.0200830945616913,2.75082682835112e-06
561,"Small-world",50,0.232571428571429,"3.04163265306122",0.486674242296133,-0.0384706160018879,NA,"With (weak)",4,0.517291313107154,9.16171778506851e-06,0.0164595626115737,3.12155308041812e-06
562,"Small-world",50,0.254,"3.28816326530612",0.488539701867053,-0.00349040139616048,NA,"With (weak)",4,0.504157337549838,8.77761370700995e-06,0.0207677635702655,2.25588311284399e-06
563,"Small-world",50,0.216190476190476,"3.11265306122449",0.492839471069292,-0.205182283820428,NA,"With (weak)",4,0.517628677937541,9.08394542679015e-06,0.0229737334373583,2.90295365690766e-06
564,"Small-world",50,0.171333333333333,"3.10775510204082",0.489453852971056,-0.0329619312906221,NA,"With (weak)",4,0.493351424007131,8.85538754665127e-06,0.0150649047667951,2.38721998788553e-06
565,"Small-world",50,0.147333333333333,"3.06204081632653",0.551321502637703,-0.133309966117537,NA,"With (weak)",4,0.423805747644535,8.79983600324422e-06,0.00922347898046755,2.15701090859585e-06
566,"Small-world",50,0.329523809523809,"3.2734693877551",0.504399006065206,0.0189097238705594,NA,"With (weak)",4,0.540647774612411,9.07283477245656e-06,0.0205656031500968,2.89826626363373e-06
567,"Small-world",50,0.247904761904762,"3.24408163265306",0.561600728728769,-0.253581661891117,NA,"With (weak)",4,0.456269481768572,8.68397026521209e-06,0.0181178295248017,1.73400951454688e-06
568,"Small-world",50,0.281333333333333,"3.21714285714286",0.558787160835536,-0.0921177587844253,NA,"With (weak)",4,0.551148956033879,8.97760104090104e-06,0.0126716274028499,2.81562440493691e-06
569,"Small-world",50,0.265428571428571,"3.14122448979592",0.511346500238361,-0.0801904064445257,NA,"With (weak)",4,0.498609283856436,8.91728931520601e-06,0.00964572620636731,2.47050109783691e-06
570,"Small-world",50,0.145238095238095,"3.12816326530612",0.51728051886685,0.127990775439608,NA,"With (weak)",4,0.552213309093747,9.04585328150141e-06,0.0165047589602275,2.7484464678367e-06
571,"Small-world",50,0.183333333333333,"3.08489795918367",0.533251377360177,-0.073161627472938,NA,"With (weak)",4,0.590948537467163,9.0109339914689e-06,0.025314218721135,2.74065805954987e-06
572,"Small-world",50,0.252,"3.45714285714286",0.466843307443798,-0.0340632603406326,NA,"With (weak)",4,0.507943349319872,8.81094418864776e-06,0.00896633777327664,2.4383757849967e-06
573,"Small-world",50,0.242666666666667,"3.27183673469388",0.51883883266531,-0.0534979423868315,NA,"With (weak)",4,0.551956720388026,8.65539996586224e-06,0.0248212466820419,1.71352616600416e-06
574,"Small-world",50,0.224,"3.13632653061224",0.496988124112229,-0.0139143565958365,NA,"With (weak)",4,0.468399351666431,8.86649820098487e-06,0.0244266284068969,2.39393868826826e-06
575,"Small-world",50,0.236,"3.20408163265306",0.539085122418907,0.0583333333333333,NA,"With (weak)",4,0.482656943356108,9.03315530013609e-06,0.0209523385663557,2.75102654334289e-06
576,"Small-world",50,0.195333333333333,"3.31102040816327",0.506643081056677,-0.0025062656641604,NA,"With (weak)",4,0.459308211153946,8.91094032452335e-06,0.0155438496284582,2.47160788057415e-06
