"rep_id","network_type","size","clustering","pathlength","value_lang_start","assortativity","exponent","init_lang_exp","node_degree","path_type","exp_type","size_type","neigh_type","clus_type","ass_type","mean_lang","inter_var","mean_intra_var","std_intra_var"
11,"Scalefree",50,0,4.41877551020408,0.546595706539625,-0.299127269719154,2.82772374290283,"With (strong)",2,"None","None","Low",NA,NA,"None",0.49969554278129,2.50040210402146e-05,0.0163310880067208,1.07111001052034e-05
23,"Scalefree",50,0,3.94367346938776,0.565366231040274,-0.428403857850377,2.79634257801933,"With (strong)",2,"None","None","None",NA,NA,"Low",0.480729009425387,2.66298280712319e-05,0.0155811001579349,1.03055684180002e-05
39,"Scalefree",50,0,4.40816326530612,0.543931054327709,-0.3283493670234,2.82673351870892,"With (strong)",2,"None","None","Low",NA,NA,"None",0.494108435426066,2.57981394201782e-05,0.0406035520690988,1.05222203696191e-05
43,"Scalefree",50,0,3.34122448979592,0.54582497578534,-0.292540792540793,2.83498129196874,"With (strong)",2,"Low","None","None",NA,NA,"None",0.494950339957372,2.64141671578954e-05,0.0159254466015553,1.04753983714443e-05
85,"Scalefree",50,0,4.41551020408163,0.585231887452033,-0.33050743334562,2.86537000721576,"With (strong)",2,"None","None","Low",NA,NA,"None",0.503281708488621,2.54505399338117e-05,0.00884660484799089,1.09794558787392e-05
125,"Scalefree",50,0,4.07673469387755,0.559437349345483,-0.208775343669575,2.57218233432723,"With (strong)",2,"None","Low","None",NA,NA,"None",0.518018553227566,2.55145390915566e-05,0.0157922725804118,1.09300123424009e-05
146,"Scalefree",50,0,4.00081632653061,0.533549321693485,-0.260271466725204,3.02864569472721,"With (strong)",2,"None","High","None",NA,NA,"None",0.500249528409703,2.51322812018032e-05,0.0122134056762542,1.05108786333927e-05
194,"Scalefree",50,0,4.41714285714286,0.528935360511066,-0.251151109250732,2.84735779587945,"With (strong)",2,"None","None","Low",NA,NA,"None",0.476411146022788,2.49370902872666e-05,0.0129431306650901,1.07534944988295e-05
218,"Scalefree",50,0,3.95428571428571,0.628430791232314,-0.453034081463009,2.80550994355183,"With (strong)",2,"None","None","None",NA,NA,"Low",0.516452005935438,2.64167854430863e-05,0.014370528010037,1.02013723694997e-05
246,"Scalefree",50,0,4.38367346938776,0.525572792938318,-0.304618092801936,2.88903618003486,"With (strong)",2,"None","None","Low",NA,NA,"None",0.498845258599988,2.53278673695982e-05,0.0170843799935789,1.07107794210624e-05
249,"Scalefree",50,0,4.13387755102041,0.554982018897896,-0.199323867478026,2.81641816292356,"With (strong)",2,"None","None","None",NA,NA,"High",0.515859428574439,2.48775755391975e-05,0.0138734780913153,1.08507288156405e-05
288,"Scalefree",50,0,4.0130612244898,0.546626168837138,-0.243988473767886,2.66216273486671,"With (strong)",2,"None","Low","None",NA,NA,"None",0.489647047655132,2.53876623217925e-05,0.013775301741494,1.07287358239239e-05
325,"Scalefree",50,0,4.03673469387755,0.585775655598766,-0.283975659229209,2.64866189139002,"With (strong)",2,"None","Low","None",NA,NA,"None",0.51541918915512,2.61145089473588e-05,0.0236332277719431,1.09712856347266e-05
332,"Scalefree",50,0,4.13795918367347,0.578541259663259,-0.520744854622672,2.81460684436741,"With (strong)",2,"None","None","None",NA,NA,"Low",0.495324925324901,2.69017585237962e-05,0.0274506618075351,1.03739672248084e-05
356,"Scalefree",50,0,4.08571428571429,0.55586098713155,-0.169191919191919,2.78737433802606,"With (strong)",2,"None","None","None",NA,NA,"High",0.49171164022981,2.51766229839766e-05,0.00921974783180566,1.08936914519117e-05
359,"Scalefree",50,0,3.50285714285714,0.535992603204005,-0.270893371757925,2.83179291198872,"With (strong)",2,"Low","None","None",NA,NA,"None",0.491837883927489,2.65834801598627e-05,0.0125311552979323,1.0676338578058e-05
389,"Scalefree",50,0,3.8669387755102,0.552926581888422,-0.176521449950116,2.79464582954475,"With (strong)",2,"None","None","None",NA,NA,"High",0.471513466928638,2.53876730587029e-05,0.014480772176548,1.06775467099194e-05
423,"Scalefree",50,0,4.46938775510204,0.433660599137211,-0.265895953757225,2.88311863188415,"With (strong)",2,"None","None","Low",NA,NA,"None",0.48435493506899,2.4792250369556e-05,0.00609415324830466,1.0574091605849e-05
457,"Scalefree",50,0,3.89959183673469,0.520211988833828,-0.469600969273243,2.77594450771378,"With (strong)",2,"None","None","None",NA,NA,"Low",0.496576103323061,2.71926066316681e-05,0.0156301841926893,1.03729216513978e-05
485,"Scalefree",50,0,3.50938775510204,0.549205072998692,-0.297751634767549,2.77882093274168,"With (strong)",2,"Low","None","None",NA,NA,"None",0.516012503606419,2.67500928263983e-05,0.0116090788742281,1.05083671417183e-05
503,"Scalefree",50,0,4.8334693877551,0.6042125402368,-0.28143061516452,2.81709086126022,"With (strong)",2,"High","None","None",NA,NA,"None",0.501090362496635,2.45483804057903e-05,0.0137126949879035,1.08169512214293e-05
513,"Scalefree",50,0,4.02040816326531,0.494192794215687,-0.158766800041038,2.76829781174718,"With (strong)",2,"None","None","None",NA,NA,"High",0.502860685463584,2.52321584827325e-05,0.0148889508461001,1.08564273057823e-05
528,"Scalefree",50,0,3.95183673469388,0.62859650283846,-0.286505230643704,3.13650198169894,"With (strong)",2,"None","High","None",NA,NA,"None",0.493793424220339,2.55363416751969e-05,0.0110534010079804,1.04699142419382e-05
611,"Scalefree",50,0,4.0065306122449,0.534967132049255,-0.280775187844809,3.03871283929523,"With (strong)",2,"None","High","None",NA,NA,"None",0.485911669834756,2.51873599678502e-05,0.0221171262732474,1.04242126650427e-05
618,"Scalefree",50,0,4.00816326530612,0.616630227703142,-0.101628813948153,2.79787956832226,"With (strong)",2,"None","None","None",NA,NA,"High",0.491715846770824,2.47704668838205e-05,0.0166158807389067,1.09396232461635e-05
701,"Scalefree",50,0,3.94775510204082,0.535429712444959,-0.247290840703467,3.16565279836043,"With (strong)",2,"None","High","None",NA,NA,"None",0.493513546416661,2.45813306693468e-05,0.0119931206847139,1.00231154586716e-05
